#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_10_length_170842_cov_53.584078	70502	71695	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.25	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_10_length_170842_cov_53.584078	71718	74867	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.79	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_10_length_170842_cov_53.584078	159597	160754	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.32	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_12_length_169982_cov_58.108096	141132	142265	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.53	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_13_length_139287_cov_59.117477	128754	129416	cardnewid_486	1-663/663	===============	0/0	100.00	98.19	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_13_length_139287_cov_59.117477	129815	130972	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_13_length_139287_cov_59.117477	130984	134088	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.10	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_15_length_129000_cov_60.864919	74153	75526	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_16_length_126214_cov_50.220562	20092	21318	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.37	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_16_length_126214_cov_50.220562	29949	31157	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.35	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_19_length_99309_cov_58.034525	36455	37921	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.68	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_19_length_99309_cov_58.034525	37918	39969	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.73	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_19_length_99309_cov_58.034525	39969	41000	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.06	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_19_length_99309_cov_58.034525	70215	71858	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.18	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_1_length_568361_cov_51.079024	42839	43222	cardnewid_1808	1-384/384	===============	0/0	100.00	98.44	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_1_length_568361_cov_51.079024	80887	81211	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_1_length_568361_cov_51.079024	81203	81561	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.11	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_1_length_568361_cov_51.079024	404830	405162	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_1_length_568361_cov_51.079024	500429	501837	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_20_length_82883_cov_48.936297	80902	81315	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_27_length_29819_cov_59.358315	21743	22095	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.56	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_2_length_466087_cov_57.610257	406929	410042	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.43	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_2_length_466087_cov_57.610257	441276	441358	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_3_length_422066_cov_52.711552	31902	35495	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.24	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_3_length_422066_cov_52.711552	35500	36114	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_3_length_422066_cov_52.711552	36638	37693	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.82	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_3_length_422066_cov_52.711552	37693	39231	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.73	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
4cdaecfb-f545-496f-ad90-5c93d9261f16_1_contigs.fa	NODE_3_length_422066_cov_52.711552	136736	137704	cardnewid_1968	1-969/969	===============	0/0	100.00	97.83	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
