#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
efacfa09-a160-4b75-a946-da6e433a2be2_1_contigs.fa	NODE_10_length_184489_cov_27.894736	41119	41443	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
efacfa09-a160-4b75-a946-da6e433a2be2_1_contigs.fa	NODE_10_length_184489_cov_27.894736	41435	41793	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
efacfa09-a160-4b75-a946-da6e433a2be2_1_contigs.fa	NODE_11_length_147849_cov_34.582884	44539	46026	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.45	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
efacfa09-a160-4b75-a946-da6e433a2be2_1_contigs.fa	NODE_11_length_147849_cov_34.582884	68384	69203	cardnewid_1713	1-820/822	===============	0/0	99.76	98.90	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
efacfa09-a160-4b75-a946-da6e433a2be2_1_contigs.fa	NODE_12_length_139314_cov_34.701100	128781	129443	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
efacfa09-a160-4b75-a946-da6e433a2be2_1_contigs.fa	NODE_12_length_139314_cov_34.701100	129842	130999	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
efacfa09-a160-4b75-a946-da6e433a2be2_1_contigs.fa	NODE_12_length_139314_cov_34.701100	131011	134115	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.00	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
efacfa09-a160-4b75-a946-da6e433a2be2_1_contigs.fa	NODE_18_length_90259_cov_35.866492	24750	26123	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
efacfa09-a160-4b75-a946-da6e433a2be2_1_contigs.fa	NODE_1_length_614234_cov_36.056862	61665	62897	cardnewid_1119	1-1233/1233	===============	0/0	100.00	95.94	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
efacfa09-a160-4b75-a946-da6e433a2be2_1_contigs.fa	NODE_1_length_614234_cov_36.056862	232084	233217	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.71	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
