#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_10_length_203250_cov_45.591895	441	1265	cardnewid_80	1-825/825	===============	0/0	100.00	93.70	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_10_length_203250_cov_45.591895	1634	2362	cardnewid_2042	1-729/729	===============	0/0	100.00	99.73	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_10_length_203250_cov_45.591895	2725	5838	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.27	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_10_length_203250_cov_45.591895	5863	7020	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_10_length_203250_cov_45.591895	187517	188149	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_13_length_174847_cov_45.863289	111298	112764	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_13_length_174847_cov_45.863289	112761	114812	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.83	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_13_length_174847_cov_45.863289	114812	115843	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.93	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_13_length_174847_cov_45.863289	145066	146709	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.73	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_14_length_144174_cov_43.188387	97444	98982	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.79	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_14_length_144174_cov_43.188387	98999	100171	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.12	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_14_length_144174_cov_43.188387	100298	100828	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_15_length_140971_cov_46.024870	124908	126041	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_17_length_114739_cov_43.239417	72586	73818	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.35	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
f2e0c87d-6b04-4a1f-8d62-b2c00cb994bb_1_contigs.fa	NODE_1_length_406160_cov_44.028679	1638	2804	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.32	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
