#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_10_length_159935_cov_37.825939	16136	17884	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.26	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_10_length_159935_cov_37.825939	132498	133730	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.92	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_11_length_156066_cov_37.445243	72382	73608	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.27	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_11_length_156066_cov_37.445243	82239	83447	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.59	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_14_length_109995_cov_38.465820	8130	8802	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_17_length_88249_cov_41.452162	22692	24065	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_18_length_84621_cov_42.539790	15418	16237	cardnewid_1713	1-820/822	===============	0/0	99.76	98.54	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_18_length_84621_cov_42.539790	38596	40083	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.45	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_1_length_635521_cov_38.459529	151779	152255	cardnewid_1625	1-477/477	===============	0/0	100.00	98.11	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_1_length_635521_cov_38.459529	173490	176603	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.88	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_1_length_635521_cov_38.459529	207721	209025	cardnewid_1960	1-1305/1305	===============	0/0	100.00	98.54	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_1_length_635521_cov_38.459529	266321	269914	cardnewid_1238	1-3594/3594	===============	0/0	100.00	98.91	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_1_length_635521_cov_38.459529	269919	270533	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_1_length_635521_cov_38.459529	271057	272112	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.72	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_1_length_635521_cov_38.459529	272112	273650	cardnewid_501	1-1539/1539	===============	0/0	100.00	98.83	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_1_length_635521_cov_38.459529	374884	375852	cardnewid_1968	1-969/969	===============	0/0	100.00	99.38	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_1_length_635521_cov_38.459529	422925	424568	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.48	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_1_length_635521_cov_38.459529	610653	611375	cardnewid_1255	1-723/723	===============	0/0	100.00	99.31	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_1_length_635521_cov_38.459529	611372	612775	cardnewid_929	1-1404/1404	===============	0/0	100.00	99.57	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_1_length_635521_cov_38.459529	614188	617265	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.12	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_1_length_635521_cov_38.459529	617266	620388	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.92	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_1_length_635521_cov_38.459529	620388	621635	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.08	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_21_length_73601_cov_39.309600	21557	21940	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_29_length_50394_cov_40.422819	14541	14873	cardnewid_2240	1-333/333	===============	0/0	100.00	98.80	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_2_length_397074_cov_40.916521	75669	76901	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.19	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_2_length_397074_cov_40.916521	236827	237960	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.71	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_2_length_397074_cov_40.916521	280177	281820	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.39	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
5630e559-1bf2-4b8f-ab77-7cbed66e1ec6_1_contigs.fa	NODE_2_length_397074_cov_40.916521	304540	305571	cardnewid_1350	1-1032/1032	===============	0/0	100.00	98.16	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
