#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_10_length_198679_cov_26.042910	128882	129295	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_11_length_186544_cov_27.389892	127360	130473	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_11_length_186544_cov_27.389892	161733	161815	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_13_length_179378_cov_28.596176	127221	128759	cardnewid_1738	1-1539/1539	===============	0/0	100.00	96.95	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_13_length_179378_cov_28.596176	128776	129948	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_13_length_179378_cov_28.596176	130075	130605	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_17_length_97238_cov_32.795000	21710	23083	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_1_length_563117_cov_25.178367	60991	62399	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_1_length_563117_cov_25.178367	158767	159099	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_1_length_563117_cov_25.178367	487788	488146	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.67	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_1_length_563117_cov_25.178367	488138	488462	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_1_length_563117_cov_25.178367	526114	526497	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_23_length_29924_cov_31.434717	21848	22200	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.28	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_2_length_454996_cov_26.072208	100962	102194	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.59	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_2_length_454996_cov_26.072208	180492	182240	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_2_length_454996_cov_26.072208	307037	308263	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.21	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_2_length_454996_cov_26.072208	316892	318100	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_3_length_419019_cov_26.726654	24593	25759	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.92	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_3_length_419019_cov_26.726654	59127	60374	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.11	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_3_length_419019_cov_26.726654	60374	63496	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.29	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_3_length_419019_cov_26.726654	63497	66574	cardnewid_1236	1-3078/3078	===============	0/0	100.00	94.15	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_3_length_419019_cov_26.726654	67987	69390	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_3_length_419019_cov_26.726654	69387	70108	cardnewid_1255	1-722/723	===============	0/0	99.86	96.81	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_3_length_419019_cov_26.726654	211029	212672	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.05	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_3_length_419019_cov_26.726654	270567	271535	cardnewid_1968	1-969/969	===============	0/0	100.00	97.63	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_3_length_419019_cov_26.726654	380116	381654	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.73	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_3_length_419019_cov_26.726654	381654	382709	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.73	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_3_length_419019_cov_26.726654	383233	383847	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_3_length_419019_cov_26.726654	383852	387445	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.16	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
3a4b0497-effc-45c0-98b8-9248fe193c38_1_contigs.fa	NODE_4_length_361418_cov_30.797936	121026	122513	cardnewid_776	1-1488/1488	===============	0/0	100.00	97.98	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
