#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
421585db-e049-4710-9169-6a46b0f2ba70_1_contigs.fa	NODE_10_length_186539_cov_34.680991	24730	24812	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
421585db-e049-4710-9169-6a46b0f2ba70_1_contigs.fa	NODE_10_length_186539_cov_34.680991	56072	59185	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.01	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
421585db-e049-4710-9169-6a46b0f2ba70_1_contigs.fa	NODE_11_length_178018_cov_38.881157	28797	30440	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.85	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
421585db-e049-4710-9169-6a46b0f2ba70_1_contigs.fa	NODE_11_length_178018_cov_38.881157	59655	60686	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.74	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
421585db-e049-4710-9169-6a46b0f2ba70_1_contigs.fa	NODE_11_length_178018_cov_38.881157	60686	62737	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
421585db-e049-4710-9169-6a46b0f2ba70_1_contigs.fa	NODE_11_length_178018_cov_38.881157	62734	64200	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
421585db-e049-4710-9169-6a46b0f2ba70_1_contigs.fa	NODE_12_length_173767_cov_33.801134	40928	41600	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
421585db-e049-4710-9169-6a46b0f2ba70_1_contigs.fa	NODE_13_length_171849_cov_38.961606	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
421585db-e049-4710-9169-6a46b0f2ba70_1_contigs.fa	NODE_14_length_169184_cov_34.995110	68047	69240	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
421585db-e049-4710-9169-6a46b0f2ba70_1_contigs.fa	NODE_14_length_169184_cov_34.995110	69263	72412	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.63	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
421585db-e049-4710-9169-6a46b0f2ba70_1_contigs.fa	NODE_14_length_169184_cov_34.995110	157273	158430	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
