#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_10_length_189612_cov_54.347656	441	1265	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_10_length_189612_cov_54.347656	1634	2362	cardnewid_2042	1-729/729	===============	0/0	100.00	99.73	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_10_length_189612_cov_54.347656	2725	5838	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.33	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_10_length_189612_cov_54.347656	5863	7020	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.45	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_10_length_189612_cov_54.347656	173979	174611	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_11_length_186486_cov_43.567371	127360	130473	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.59	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_11_length_186486_cov_43.567371	161707	161789	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_12_length_128215_cov_57.707565	66725	68098	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_1_length_683815_cov_41.323577	127826	128239	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_1_length_683815_cov_41.323577	251215	251547	cardnewid_2240	1-333/333	===============	0/0	100.00	98.80	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_1_length_683815_cov_41.323577	333165	334373	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_1_length_683815_cov_41.323577	343005	344231	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.29	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_1_length_683815_cov_41.323577	468865	470613	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_1_length_683815_cov_41.323577	582639	583871	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.35	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_20_length_29885_cov_54.808273	21809	22161	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.98	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
1c2c8fdb-15a6-4ff1-9fc4-d614546a5485_1_contigs.fa	NODE_23_length_7684_cov_161.139740	1301	1957	cardnewid_355	1-657/657	===============	0/0	100.00	100.00	cardformatted	000355	cardformatted~~~cardnewid_355~~~000355
