#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_10_length_147456_cov_40.636787	131822	132454	cardnewid_816	1-633/633	===============	0/0	100.00	99.68	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_12_length_138538_cov_41.820079	86009	87475	cardnewid_37	1-1467/1467	===============	0/0	100.00	100.00	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_12_length_138538_cov_41.820079	87472	89523	cardnewid_1932	1-2052/2052	===============	0/0	100.00	99.95	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_12_length_138538_cov_41.820079	89523	90554	cardnewid_1350	1-1032/1032	===============	0/0	100.00	100.00	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_12_length_138538_cov_41.820079	120199	121842	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.94	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_14_length_128726_cov_41.791207	78	876	cardnewid_1353	1-799/1158	===========....	0/0	69.00	100.00	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_14_length_128726_cov_41.791207	1275	1937	cardnewid_486	1-663/663	===============	0/0	100.00	99.85	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_15_length_125597_cov_42.004143	61278	62651	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_16_length_120825_cov_39.235366	9832	10509	cardnewid_2055	1-678/678	===============	0/0	100.00	99.85	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_16_length_120825_cov_39.235366	14471	14614	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_18_length_103548_cov_41.176301	46595	47125	cardnewid_1248	1-531/531	===============	0/0	100.00	99.81	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_18_length_103548_cov_41.176301	47252	48424	cardnewid_1650	1-1173/1173	===============	0/0	100.00	99.91	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_18_length_103548_cov_41.176301	48441	49979	cardnewid_1738	1-1539/1539	===============	0/0	100.00	100.00	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_1_length_573982_cov_39.016079	18881	20128	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.92	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_1_length_573982_cov_39.016079	20128	23250	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.66	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_1_length_573982_cov_39.016079	23251	26328	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.41	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_1_length_573982_cov_39.016079	27741	29144	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_1_length_573982_cov_39.016079	29141	29863	cardnewid_1255	1-723/723	===============	0/0	100.00	100.00	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_1_length_573982_cov_39.016079	173109	174752	cardnewid_2133	1-1644/1644	===============	0/0	100.00	100.00	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_1_length_573982_cov_39.016079	233212	234180	cardnewid_1968	1-969/969	===============	0/0	100.00	100.00	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_1_length_573982_cov_39.016079	336564	338102	cardnewid_501	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_1_length_573982_cov_39.016079	338102	339157	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.91	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_1_length_573982_cov_39.016079	339681	340295	cardnewid_954	1-615/615	===============	0/0	100.00	100.00	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e_1_contigs.fa	NODE_1_length_573982_cov_39.016079	340300	343893	cardnewid_1238	1-3594/3594	===============	0/0	100.00	100.00	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
