#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_108_length_720_cov_62.278383	1	77	cardnewid_1722	528-604/804	.........===...	0/0	9.58	100.00	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_108_length_720_cov_62.278383	151	633	cardnewid_1491	1-483/483	===============	0/0	100.00	100.00	cardformatted	001491	cardformatted~~~cardnewid_1491~~~001491
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_108_length_720_cov_62.278383	641	720	cardnewid_1722	453-532/804	........==.....	0/0	9.95	98.75	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_10_length_186007_cov_22.972242	126358	127033	cardnewid_2055	1-676/678	===============	0/0	99.71	95.27	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_12_length_117192_cov_21.433335	116612	117025	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_16_length_97744_cov_23.315818	21584	22888	cardnewid_1960	1-1305/1305	===============	0/0	100.00	96.32	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_16_length_97744_cov_23.315818	54373	57486	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.91	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_16_length_97744_cov_23.315818	78191	78667	cardnewid_1625	1-477/477	===============	0/0	100.00	97.90	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_18_length_92585_cov_25.503319	15078	15710	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_194_length_153_cov_50.250000	1	69	cardnewid_969	769-837/837	.............==	0/0	8.24	98.55	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_197_length_152_cov_42.586667	1	152	cardnewid_1722	453-604/804	........====...	0/0	18.91	100.00	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_1_length_361165_cov_23.829133	27735	28265	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_1_length_361165_cov_23.829133	28392	29564	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_1_length_361165_cov_23.829133	29581	31119	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.25	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_22_length_79930_cov_21.410930	56153	56477	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_22_length_79930_cov_21.410930	56469	56827	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_2_length_351662_cov_24.702473	31214	32446	cardnewid_1119	1-1233/1233	===============	0/0	100.00	100.00	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_34_length_49967_cov_20.321247	46908	47291	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_35_length_48438_cov_22.683774	8616	9842	cardnewid_562	1-1227/1227	===============	0/0	100.00	97.96	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
d0897c1c-3835-4519-833b-fd6510f30849_1_contigs.fa	NODE_35_length_48438_cov_22.683774	18473	19681	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.18	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
