#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_11_length_124774_cov_48.039143	103447	103805	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.56	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_11_length_124774_cov_48.039143	103797	104121	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_12_length_110432_cov_47.626777	4011	4154	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_13_length_104656_cov_47.533061	88971	90509	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_13_length_104656_cov_47.533061	90526	91698	cardnewid_1650	1-1173/1173	===============	0/0	100.00	99.91	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_13_length_104656_cov_47.533061	91825	92355	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_14_length_104568_cov_47.598463	18756	19982	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_14_length_104568_cov_47.598463	28611	29819	cardnewid_349	1-1209/1209	===============	0/0	100.00	99.92	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_16_length_89387_cov_49.584750	15116	15499	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_19_length_87026_cov_47.569035	61318	62691	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_1_length_436560_cov_47.400146	23235	24401	cardnewid_912	1-1167/1167	===============	0/0	100.00	78.32	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_1_length_436560_cov_47.400146	84868	86115	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.28	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_1_length_436560_cov_47.400146	86115	89237	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.12	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_1_length_436560_cov_47.400146	89238	92315	cardnewid_1236	1-3078/3078	===============	0/0	100.00	97.86	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
e4243827-282f-45bb-81c6-98e28a090f70_1_contigs.fa	NODE_1_length_436560_cov_47.400146	93728	95131	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
