#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
4c28d19c-15d9-487d-bf8b-2021a306b368_1_contigs.fa	NODE_10_length_202976_cov_34.330982	827	1651	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
4c28d19c-15d9-487d-bf8b-2021a306b368_1_contigs.fa	NODE_10_length_202976_cov_34.330982	2020	2748	cardnewid_2042	1-729/729	===============	0/0	100.00	99.86	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
4c28d19c-15d9-487d-bf8b-2021a306b368_1_contigs.fa	NODE_10_length_202976_cov_34.330982	3111	6224	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.33	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
4c28d19c-15d9-487d-bf8b-2021a306b368_1_contigs.fa	NODE_10_length_202976_cov_34.330982	6249	7406	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.62	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
4c28d19c-15d9-487d-bf8b-2021a306b368_1_contigs.fa	NODE_10_length_202976_cov_34.330982	187243	187875	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
4c28d19c-15d9-487d-bf8b-2021a306b368_1_contigs.fa	NODE_11_length_186541_cov_31.396253	24733	24815	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
4c28d19c-15d9-487d-bf8b-2021a306b368_1_contigs.fa	NODE_11_length_186541_cov_31.396253	56075	59188	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
4c28d19c-15d9-487d-bf8b-2021a306b368_1_contigs.fa	NODE_12_length_172821_cov_30.011416	40837	41509	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
4c28d19c-15d9-487d-bf8b-2021a306b368_1_contigs.fa	NODE_14_length_168557_cov_31.723178	10128	11285	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
4c28d19c-15d9-487d-bf8b-2021a306b368_1_contigs.fa	NODE_14_length_168557_cov_31.723178	96146	99295	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.63	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
