#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_10_length_180766_cov_23.701421	130164	131702	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.44	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_10_length_180766_cov_23.701421	131719	132891	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.04	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_10_length_180766_cov_23.701421	133018	133548	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_12_length_165574_cov_21.895696	64165	65397	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.27	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_13_length_162113_cov_20.246488	100765	101123	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_13_length_162113_cov_20.246488	101115	101439	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_13_length_162113_cov_20.246488	132004	132387	cardnewid_1808	1-384/384	===============	0/0	100.00	98.96	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_14_length_158855_cov_25.616439	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.59	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_14_length_158855_cov_25.616439	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_14_length_158855_cov_25.616439	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_15_length_158133_cov_26.825157	55985	57352	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_17_length_157274_cov_20.534406	117416	117829	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_18_length_147256_cov_25.178436	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.80	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_19_length_136519_cov_20.615331	107375	107707	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_1_length_360604_cov_21.839147	18987	20153	cardnewid_912	1-1167/1167	===============	0/0	100.00	95.97	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_1_length_360604_cov_21.839147	73249	74496	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.59	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_1_length_360604_cov_21.839147	74496	77618	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.16	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_1_length_360604_cov_21.839147	77619	80696	cardnewid_1236	1-3078/3078	===============	0/0	100.00	93.99	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_1_length_360604_cov_21.839147	82109	83512	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_1_length_360604_cov_21.839147	83509	84230	cardnewid_1255	1-722/723	===============	0/0	99.86	97.09	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_1_length_360604_cov_21.839147	223836	225479	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.38	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_1_length_360604_cov_21.839147	283684	284652	cardnewid_1968	1-969/969	===============	0/0	100.00	97.63	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_25_length_74631_cov_21.203249	30423	31831	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_26_length_70129_cov_22.653800	31571	35164	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.33	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
5ba81d16-bfd2-4c25-9e13-cd3f88980390_1_contigs.fa	NODE_26_length_70129_cov_22.653800	35169	35783	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
