#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_11_length_125559_cov_55.899946	61492	62865	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_12_length_122794_cov_55.781897	57319	57849	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_12_length_122794_cov_55.781897	57976	59148	cardnewid_1650	1-1173/1173	===============	0/0	100.00	99.91	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_12_length_122794_cov_55.781897	59165	60703	cardnewid_1738	1-1539/1539	===============	0/0	100.00	100.00	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_13_length_119070_cov_55.012102	106143	106286	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_13_length_119070_cov_55.012102	110248	110925	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_14_length_113153_cov_56.280245	41018	41431	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_15_length_109869_cov_55.748725	18577	19803	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_15_length_109869_cov_55.748725	28432	29640	cardnewid_349	1-1209/1209	===============	0/0	100.00	100.00	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_1_length_565597_cov_58.347556	284283	287387	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.97	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_1_length_565597_cov_58.347556	287399	288556	cardnewid_1353	1-1158/1158	===============	0/0	100.00	99.91	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_1_length_565597_cov_58.347556	288955	289617	cardnewid_486	1-663/663	===============	0/0	100.00	99.85	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_1_length_565597_cov_58.347556	499284	500105	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_1_length_565597_cov_58.347556	522481	523968	cardnewid_776	1-1488/1488	===============	0/0	100.00	100.00	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_20_length_91076_cov_53.472840	7702	8670	cardnewid_1968	1-969/969	===============	0/0	100.00	99.90	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_22_length_80218_cov_59.780899	31987	32370	cardnewid_1808	1-384/384	===============	0/0	100.00	100.00	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_26_length_55170_cov_75.224439	76	266	cardnewid_501	1349-1539/1539	.............==	0/0	12.41	99.48	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_29_length_48192_cov_60.997922	9892	11103	cardnewid_1119	22-1233/1233	===============	0/0	98.30	95.54	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_2_length_299953_cov_57.323230	60149	61615	cardnewid_37	1-1467/1467	===============	0/0	100.00	100.00	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_2_length_299953_cov_57.323230	61612	63663	cardnewid_1932	1-2052/2052	===============	0/0	100.00	99.95	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_2_length_299953_cov_57.323230	63663	64694	cardnewid_1350	1-1032/1032	===============	0/0	100.00	100.00	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_2_length_299953_cov_57.323230	94295	95938	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.94	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_2_length_299953_cov_57.323230	138160	139293	cardnewid_2338	1-1134/1134	===============	0/0	100.00	100.00	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_31_length_42322_cov_64.258563	35273	36430	cardnewid_1790	1-1158/1158	===============	0/0	100.00	100.00	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_31_length_42322_cov_64.258563	36455	39568	cardnewid_107	1-3114/3114	===============	0/0	100.00	99.97	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_31_length_42322_cov_64.258563	39931	40659	cardnewid_2042	1-729/729	===============	0/0	100.00	94.65	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_31_length_42322_cov_64.258563	41027	41851	cardnewid_80	1-825/825	===============	0/0	100.00	100.00	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_36_length_30887_cov_54.531581	7846	8198	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.56	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_3_length_297175_cov_54.720338	95130	96878	cardnewid_2113	1-1749/1749	===============	0/0	100.00	100.00	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_3_length_297175_cov_54.720338	194038	195270	cardnewid_2329	1-1233/1233	===============	0/0	100.00	98.38	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_4_length_264361_cov_56.038160	50939	52582	cardnewid_2133	1-1644/1644	===============	0/0	100.00	99.88	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_4_length_264361_cov_56.038160	210152	210874	cardnewid_1255	1-723/723	===============	0/0	100.00	100.00	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_4_length_264361_cov_56.038160	210871	212274	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_4_length_264361_cov_56.038160	213687	216764	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.41	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_4_length_264361_cov_56.038160	216765	219887	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.66	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_4_length_264361_cov_56.038160	219887	221134	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.92	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_54_length_5737_cov_66.880389	2076	3281	cardnewid_452	1-1206/1206	===============	0/0	100.00	99.75	cardformatted	000452	cardformatted~~~cardnewid_452~~~000452
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_57_length_4539_cov_46.375616	86	922	cardnewid_969	1-837/837	===============	0/0	100.00	99.88	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_57_length_4539_cov_46.375616	922	1725	cardnewid_1722	1-804/804	===============	0/0	100.00	99.75	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_57_length_4539_cov_46.375616	1786	2601	cardnewid_890	1-816/816	===============	0/0	100.00	99.63	cardformatted	000890	cardformatted~~~cardnewid_890~~~000890
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_59_length_3860_cov_49.201163	2903	3562	cardnewid_716	1-660/660	===============	0/0	100.00	99.85	cardformatted	000716	cardformatted~~~cardnewid_716~~~000716
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_5_length_232241_cov_54.976116	206491	206849	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
9a5943c8-4bf9-4058-bea5-3969ffa7077d_1_contigs.fa	NODE_5_length_232241_cov_54.976116	206841	207165	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
