#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_10_length_176895_cov_39.127114	112522	113988	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.82	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_10_length_176895_cov_39.127114	113985	116036	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.56	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_10_length_176895_cov_39.127114	116036	117067	cardnewid_1350	1-1032/1032	===============	0/0	100.00	94.96	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_10_length_176895_cov_39.127114	146282	147925	cardnewid_609	1-1644/1644	===============	0/0	100.00	93.31	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_11_length_172827_cov_33.398616	40685	41357	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_12_length_172737_cov_34.605705	10728	11885	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_12_length_172737_cov_34.605705	96755	99904	cardnewid_1033	1-3150/3150	===============	0/0	100.00	97.78	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_12_length_172737_cov_34.605705	99927	101120	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_13_length_144509_cov_38.672586	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.62	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_14_length_129192_cov_40.466584	74154	75527	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.11	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_16_length_124747_cov_32.391257	41993	42406	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_1_length_537217_cov_33.168368	31578	35171	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.30	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_1_length_537217_cov_33.168368	35176	35790	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_1_length_537217_cov_33.168368	36313	37368	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.54	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_1_length_537217_cov_33.168368	37368	38906	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.73	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_1_length_537217_cov_33.168368	176580	177548	cardnewid_1968	1-969/969	===============	0/0	100.00	97.42	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_1_length_537217_cov_33.168368	235692	237335	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.20	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_1_length_537217_cov_33.168368	411483	412204	cardnewid_1255	1-722/723	===============	0/0	99.86	97.23	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_1_length_537217_cov_33.168368	412201	413604	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_1_length_537217_cov_33.168368	415017	418094	cardnewid_1236	1-3078/3078	===============	0/0	100.00	94.22	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
d21b7479-29b8-486c-8447-19684fe6edc9_1_contigs.fa	NODE_1_length_537217_cov_33.168368	418095	421217	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.64	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
