#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
6fa15340-820a-45c4-b6f7-8fb4f9d5ef35_1_contigs.fa	NODE_105_length_6811_cov_89.943718	559	1374	cardnewid_890	1-816/816	===============	0/0	100.00	100.00	cardformatted	000890	cardformatted~~~cardnewid_890~~~000890
6fa15340-820a-45c4-b6f7-8fb4f9d5ef35_1_contigs.fa	NODE_105_length_6811_cov_89.943718	1435	2238	cardnewid_1722	1-804/804	===============	0/0	100.00	99.75	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
6fa15340-820a-45c4-b6f7-8fb4f9d5ef35_1_contigs.fa	NODE_105_length_6811_cov_89.943718	2238	3074	cardnewid_969	1-837/837	===============	0/0	100.00	99.76	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
6fa15340-820a-45c4-b6f7-8fb4f9d5ef35_1_contigs.fa	NODE_105_length_6811_cov_89.943718	4053	5299	cardnewid_1828	1-1247/1275	===============	0/0	97.80	100.00	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
6fa15340-820a-45c4-b6f7-8fb4f9d5ef35_1_contigs.fa	NODE_10_length_124004_cov_56.939279	9521	9995	cardnewid_1625	3-477/477	===============	0/0	99.58	97.26	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
6fa15340-820a-45c4-b6f7-8fb4f9d5ef35_1_contigs.fa	NODE_110_length_5742_cov_47.427714	4423	5589	cardnewid_912	1-1167/1167	========/======	6/12	99.49	84.31	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
6fa15340-820a-45c4-b6f7-8fb4f9d5ef35_1_contigs.fa	NODE_12_length_112832_cov_63.380560	15003	15635	cardnewid_816	1-633/633	===============	0/0	100.00	99.37	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
6fa15340-820a-45c4-b6f7-8fb4f9d5ef35_1_contigs.fa	NODE_13_length_102401_cov_52.502639	18477	19703	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
6fa15340-820a-45c4-b6f7-8fb4f9d5ef35_1_contigs.fa	NODE_13_length_102401_cov_52.502639	28332	29540	cardnewid_349	1-1209/1209	===============	0/0	100.00	99.83	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
6fa15340-820a-45c4-b6f7-8fb4f9d5ef35_1_contigs.fa	NODE_147_length_1875_cov_68.704672	510	1370	cardnewid_45	1-861/861	===============	0/0	100.00	99.88	cardformatted	000045	cardformatted~~~cardnewid_45~~~000045
6fa15340-820a-45c4-b6f7-8fb4f9d5ef35_1_contigs.fa	NODE_14_length_96837_cov_63.900889	61501	62874	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
