#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_10_length_186389_cov_31.820097	127227	130340	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.65	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_10_length_186389_cov_31.820097	161574	161656	cardnewid_1960	1-83/1305	=..............	0/0	6.36	95.18	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_12_length_180696_cov_33.728478	130166	131704	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.44	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_12_length_180696_cov_33.728478	131721	132893	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.04	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_12_length_180696_cov_33.728478	133020	133550	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_14_length_159981_cov_35.358865	79128	80615	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.19	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_14_length_159981_cov_35.358865	106298	107117	cardnewid_1713	1-820/822	===============	0/0	99.76	98.29	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_15_length_158913_cov_36.450861	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.62	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_15_length_158913_cov_36.450861	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_15_length_158913_cov_36.450861	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_16_length_134196_cov_29.751266	26489	26821	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_17_length_133977_cov_30.725512	68180	69412	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.27	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_18_length_123751_cov_36.921261	55913	57280	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_1_length_433198_cov_30.244553	31686	35279	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.33	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_1_length_433198_cov_30.244553	35284	35898	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_1_length_433198_cov_30.244553	36422	37477	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.73	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_1_length_433198_cov_30.244553	37477	39015	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.60	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_1_length_433198_cov_30.244553	146030	146998	cardnewid_1968	1-969/969	===============	0/0	100.00	97.63	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_1_length_433198_cov_30.244553	205203	206846	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.38	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_1_length_433198_cov_30.244553	346452	347173	cardnewid_1255	1-722/723	===============	0/0	99.86	97.09	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_1_length_433198_cov_30.244553	347170	348573	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_1_length_433198_cov_30.244553	349986	353063	cardnewid_1236	1-3078/3078	===============	0/0	100.00	93.99	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
63f1ce13-177c-4fd8-b3a5-338810b710aa_1_contigs.fa	NODE_1_length_433198_cov_30.244553	353064	356186	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.16	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
