#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
bef32209-b3c2-4988-abfc-2b0cb9903108_1_contigs.fa	NODE_10_length_148275_cov_62.970256	15003	15635	cardnewid_816	1-633/633	===============	0/0	100.00	99.84	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
bef32209-b3c2-4988-abfc-2b0cb9903108_1_contigs.fa	NODE_11_length_139989_cov_58.571045	79812	80170	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
bef32209-b3c2-4988-abfc-2b0cb9903108_1_contigs.fa	NODE_11_length_139989_cov_58.571045	80162	80486	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
bef32209-b3c2-4988-abfc-2b0cb9903108_1_contigs.fa	NODE_12_length_121120_cov_65.371364	97271	98503	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.35	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
bef32209-b3c2-4988-abfc-2b0cb9903108_1_contigs.fa	NODE_13_length_120279_cov_61.254255	7927	8604	cardnewid_2055	1-678/678	===============	0/0	100.00	97.79	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
bef32209-b3c2-4988-abfc-2b0cb9903108_1_contigs.fa	NODE_14_length_119575_cov_59.286072	113691	115334	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.18	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
bef32209-b3c2-4988-abfc-2b0cb9903108_1_contigs.fa	NODE_15_length_118463_cov_63.718387	25330	26052	cardnewid_1255	1-723/723	===============	0/0	100.00	99.72	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
bef32209-b3c2-4988-abfc-2b0cb9903108_1_contigs.fa	NODE_15_length_118463_cov_63.718387	26049	27452	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
bef32209-b3c2-4988-abfc-2b0cb9903108_1_contigs.fa	NODE_15_length_118463_cov_63.718387	28865	31942	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.38	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
bef32209-b3c2-4988-abfc-2b0cb9903108_1_contigs.fa	NODE_15_length_118463_cov_63.718387	31943	35065	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.95	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
