#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_10_length_180336_cov_39.969483	99931	100263	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_10_length_180336_cov_39.969483	171636	173044	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.55	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_110_length_1814_cov_138.382268	69	872	cardnewid_1722	1-804/804	===============	0/0	100.00	99.88	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_110_length_1814_cov_138.382268	872	1708	cardnewid_969	1-837/837	===============	0/0	100.00	99.88	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_119_length_1406_cov_50.628292	450	1265	cardnewid_271	1-816/816	===============	0/0	100.00	100.00	cardformatted	000271	cardformatted~~~cardnewid_271~~~000271
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_11_length_174472_cov_40.830385	12524	14272	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.68	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_11_length_174472_cov_40.830385	94495	95727	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.35	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_12_length_146239_cov_41.136041	80246	80659	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_13_length_145176_cov_43.089318	82678	84144	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.27	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_13_length_145176_cov_43.089318	84141	86192	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.12	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_13_length_145176_cov_43.089318	86192	87223	cardnewid_1350	1-1032/1032	===============	0/0	100.00	96.61	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_13_length_145176_cov_43.089318	116436	118079	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.79	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_15_length_129764_cov_43.229869	122733	123890	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.96	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_15_length_129764_cov_43.229869	123915	127028	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.43	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_15_length_129764_cov_43.229869	127391	128119	cardnewid_2042	1-729/729	===============	0/0	100.00	95.88	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_15_length_129764_cov_43.229869	128488	129312	cardnewid_80	1-825/825	===============	0/0	100.00	93.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_16_length_129406_cov_44.249820	56300	57673	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_170_length_726_cov_54.015408	1	77	cardnewid_2295	171-247/972	..==...........	0/0	7.92	100.00	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_170_length_726_cov_54.015408	160	633	cardnewid_1874	1-474/474	===============	0/0	100.00	99.79	cardformatted	001874	cardformatted~~~cardnewid_1874~~~001874
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_170_length_726_cov_54.015408	650	726	cardnewid_2295	99-175/972	.==............	0/0	7.92	100.00	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_1_length_351905_cov_41.194706	7484	8731	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.16	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_1_length_351905_cov_41.194706	8731	11853	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.36	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_1_length_351905_cov_41.194706	11854	14930	cardnewid_1236	1-3078/3078	========/======	1/1	99.97	96.98	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
6080f144-06c2-4db2-b1f7-97680b73d6e4_1_contigs.fa	NODE_1_length_351905_cov_41.194706	16343	17746	cardnewid_929	1-1404/1404	===============	0/0	100.00	98.01	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
