#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_10_length_188066_cov_75.373203	113873	115339	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_10_length_188066_cov_75.373203	115336	117387	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_10_length_188066_cov_75.373203	117387	118418	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.74	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_10_length_188066_cov_75.373203	147633	149276	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.85	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_11_length_186539_cov_62.635738	24730	24812	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_11_length_186539_cov_62.635738	56072	59185	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_12_length_173952_cov_62.460158	40748	41420	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_13_length_172095_cov_61.572440	30535	31782	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.11	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_13_length_172095_cov_61.572440	31782	34904	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.29	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_13_length_172095_cov_61.572440	34905	37982	cardnewid_1236	1-3078/3078	===============	0/0	100.00	94.18	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_13_length_172095_cov_61.572440	39395	40798	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_13_length_172095_cov_61.572440	40795	41516	cardnewid_1255	1-722/723	===============	0/0	99.86	96.81	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_14_length_171849_cov_73.018589	155786	156919	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_15_length_168557_cov_63.828045	10128	11285	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
e0c3d2a2-a107-4068-8095-f44f2482d6c8_1_contigs.fa	NODE_15_length_168557_cov_63.828045	96146	99295	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.63	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
