#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
b0e1135e-7db4-4fa2-9b01-5fd9e42c1a7f_1_contigs.fa	NODE_10_length_173060_cov_29.207546	131761	132433	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
b0e1135e-7db4-4fa2-9b01-5fd9e42c1a7f_1_contigs.fa	NODE_11_length_162590_cov_30.554103	28929	29459	cardnewid_1248	1-531/531	===============	0/0	100.00	98.87	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
b0e1135e-7db4-4fa2-9b01-5fd9e42c1a7f_1_contigs.fa	NODE_11_length_162590_cov_30.554103	29586	30758	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.95	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
b0e1135e-7db4-4fa2-9b01-5fd9e42c1a7f_1_contigs.fa	NODE_11_length_162590_cov_30.554103	30775	32313	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.86	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
b0e1135e-7db4-4fa2-9b01-5fd9e42c1a7f_1_contigs.fa	NODE_12_length_129194_cov_32.182772	53668	55041	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.11	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
b0e1135e-7db4-4fa2-9b01-5fd9e42c1a7f_1_contigs.fa	NODE_13_length_122496_cov_28.361047	20092	21318	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.37	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
b0e1135e-7db4-4fa2-9b01-5fd9e42c1a7f_1_contigs.fa	NODE_13_length_122496_cov_28.361047	29943	31151	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
b0e1135e-7db4-4fa2-9b01-5fd9e42c1a7f_1_contigs.fa	NODE_14_length_114031_cov_28.199861	46631	48039	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
b0e1135e-7db4-4fa2-9b01-5fd9e42c1a7f_1_contigs.fa	NODE_17_length_106539_cov_27.610950	82342	82755	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
b0e1135e-7db4-4fa2-9b01-5fd9e42c1a7f_1_contigs.fa	NODE_1_length_678242_cov_31.556831	488720	489853	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.62	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
b0e1135e-7db4-4fa2-9b01-5fd9e42c1a7f_1_contigs.fa	NODE_1_length_678242_cov_31.556831	530131	531774	cardnewid_609	1-1644/1644	===============	0/0	100.00	93.31	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
b0e1135e-7db4-4fa2-9b01-5fd9e42c1a7f_1_contigs.fa	NODE_1_length_678242_cov_31.556831	560990	562021	cardnewid_1350	1-1032/1032	===============	0/0	100.00	94.96	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
b0e1135e-7db4-4fa2-9b01-5fd9e42c1a7f_1_contigs.fa	NODE_1_length_678242_cov_31.556831	562021	564072	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.51	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
