#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_10_length_252435_cov_36.221681	88364	88777	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_11_length_196253_cov_45.189371	441	1265	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_11_length_196253_cov_45.189371	1634	2362	cardnewid_2042	1-729/729	===============	0/0	100.00	99.73	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_11_length_196253_cov_45.189371	2725	5838	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.30	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_11_length_196253_cov_45.189371	5863	7020	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.45	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_11_length_196253_cov_45.189371	180620	181252	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_12_length_189377_cov_40.450998	24730	24812	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_12_length_189377_cov_40.450998	56206	59319	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.55	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_138_length_280_cov_1.822660	1	280	cardnewid_452	8-287/1206	====...........	0/0	23.22	99.64	cardformatted	000452	cardformatted~~~cardnewid_452~~~000452
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_15_length_139053_cov_48.157070	63531	64898	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.61	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_16_length_119271_cov_37.350932	18770	19996	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.37	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_16_length_119271_cov_37.350932	28627	29835	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.01	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_19_length_51717_cov_42.737200	146	1684	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.18	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_19_length_51717_cov_42.737200	1701	2873	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.12	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_19_length_51717_cov_42.737200	3000	3530	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_1_length_560879_cov_35.449797	27778	28161	cardnewid_1808	1-384/384	===============	0/0	100.00	98.44	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_1_length_560879_cov_35.449797	65826	66150	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_1_length_560879_cov_35.449797	66142	66500	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.11	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_1_length_560879_cov_35.449797	396132	396464	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_1_length_560879_cov_35.449797	492828	494236	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.19	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_23_length_29818_cov_46.161965	21742	22094	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.84	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_2_length_422849_cov_38.667265	20946	22112	cardnewid_912	1-1167/1167	===============	0/0	100.00	97.00	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
176a5ef0-a830-4cda-9002-1a8fca08d1ca_1_contigs.fa	NODE_2_length_422849_cov_38.667265	76493	77740	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.75	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
