#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_11_length_231820_cov_44.065042	131808	134921	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.59	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_11_length_231820_cov_44.065042	166155	166237	cardnewid_1960	1-83/1305	=..............	0/0	6.36	96.39	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_11_length_231820_cov_44.065042	222998	226591	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.27	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_11_length_231820_cov_44.065042	226596	227210	cardnewid_954	1-615/615	===============	0/0	100.00	98.86	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_11_length_231820_cov_44.065042	227734	228789	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.54	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_11_length_231820_cov_44.065042	228789	230327	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.66	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_12_length_203251_cov_46.001127	441	1265	cardnewid_80	1-825/825	===============	0/0	100.00	93.70	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_12_length_203251_cov_46.001127	1634	2362	cardnewid_2042	1-729/729	===============	0/0	100.00	99.73	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_12_length_203251_cov_46.001127	2725	5838	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.27	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_12_length_203251_cov_46.001127	5863	7020	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_12_length_203251_cov_46.001127	187517	188149	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_14_length_130574_cov_47.045832	74148	75521	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_17_length_44867_cov_75.358495	78	186	cardnewid_969	1-109/837	==.............	0/0	13.02	100.00	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_17_length_44867_cov_75.358495	186	989	cardnewid_1722	1-804/804	===============	0/0	100.00	99.75	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_17_length_44867_cov_75.358495	1050	1865	cardnewid_890	1-816/816	===============	0/0	100.00	100.00	cardformatted	000890	cardformatted~~~cardnewid_890~~~000890
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_18_length_42415_cov_75.148425	41608	42340	cardnewid_969	105-837/837	.==============	0/0	87.57	99.86	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_1_length_556062_cov_42.940858	34762	35145	cardnewid_1808	1-384/384	===============	0/0	100.00	98.18	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_1_length_556062_cov_42.940858	72812	73136	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_1_length_556062_cov_42.940858	73128	73486	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.11	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_1_length_556062_cov_42.940858	397077	397409	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_1_length_556062_cov_42.940858	493775	495183	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_21_length_29819_cov_46.239426	7725	8077	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	76.12	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_27_length_4952_cov_152.272000	3945	4805	cardnewid_331	1-861/861	===============	0/0	100.00	99.88	cardformatted	000331	cardformatted~~~cardnewid_331~~~000331
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_2_length_440339_cov_42.904968	20272	21498	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.29	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_2_length_440339_cov_42.904968	30129	31337	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.35	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_2_length_440339_cov_42.904968	113008	113340	cardnewid_2240	1-333/333	===============	0/0	100.00	98.80	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_2_length_440339_cov_42.904968	230831	231244	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_3_length_385211_cov_45.338113	332813	334351	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.79	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_3_length_385211_cov_45.338113	334368	335540	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.12	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_3_length_385211_cov_45.338113	335667	336197	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_5_length_370330_cov_45.889864	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.43	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_5_length_370330_cov_45.889864	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.36	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
55d139f4-3044-464d-9367-a347dcc49174_1_contigs.fa	NODE_5_length_370330_cov_45.889864	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
