#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_10_length_149134_cov_50.801620	21127	22535	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_13_length_125697_cov_65.576509	8800	10443	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.39	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_13_length_125697_cov_65.576509	33163	34194	cardnewid_1350	1-1032/1032	===============	0/0	100.00	98.16	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_13_length_125697_cov_65.576509	34194	36245	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.68	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_13_length_125697_cov_65.576509	36242	37708	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_14_length_112522_cov_50.946063	37980	38393	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_15_length_111451_cov_65.784797	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_15_length_111451_cov_65.784797	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_15_length_111451_cov_65.784797	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_18_length_102861_cov_51.370174	18294	19520	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.19	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_18_length_102861_cov_51.370174	28151	29359	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.43	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_1_length_576667_cov_54.442174	40718	41965	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.88	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_1_length_576667_cov_54.442174	41965	45087	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.17	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_1_length_576667_cov_54.442174	45088	48165	cardnewid_1236	1-3078/3078	===============	0/0	100.00	99.84	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_1_length_576667_cov_54.442174	49578	50981	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
826b040f-c6b0-49bf-9b5b-da42ddb22ed9_1_contigs.fa	NODE_1_length_576667_cov_54.442174	50978	51700	cardnewid_1255	1-723/723	===============	0/0	100.00	100.00	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
