#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_10_length_139989_cov_45.687118	79812	80170	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_10_length_139989_cov_45.687118	80162	80486	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_11_length_121120_cov_48.327627	97271	98503	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.35	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_12_length_120423_cov_46.593348	111820	112497	cardnewid_2055	1-678/678	===============	0/0	100.00	97.79	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_13_length_119807_cov_45.725633	114035	115678	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.18	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_14_length_118463_cov_47.142348	25330	26052	cardnewid_1255	1-723/723	===============	0/0	100.00	99.72	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_14_length_118463_cov_47.142348	26049	27452	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_14_length_118463_cov_47.142348	28865	31942	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.38	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_14_length_118463_cov_47.142348	31943	35065	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.95	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_14_length_118463_cov_47.142348	35065	36312	cardnewid_360	1-1248/1248	===============	0/0	100.00	100.00	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_14_length_118463_cov_47.142348	92280	93446	cardnewid_912	1-1167/1167	===============	0/0	100.00	95.37	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_16_length_114869_cov_46.602246	87121	88329	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.18	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_16_length_114869_cov_46.602246	96960	98186	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.76	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_1_length_313069_cov_46.229392	103180	104412	cardnewid_2329	1-1233/1233	===============	0/0	100.00	98.38	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_1_length_313069_cov_46.229392	186180	187928	cardnewid_2113	1-1749/1749	===============	0/0	100.00	100.00	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_21_length_93312_cov_45.568778	1530	2498	cardnewid_1968	1-969/969	===============	0/0	100.00	99.48	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_22_length_91614_cov_46.674350	63337	64875	cardnewid_1738	1-1539/1539	===============	0/0	100.00	100.00	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_22_length_91614_cov_46.674350	64892	66064	cardnewid_1650	1-1173/1173	===============	0/0	100.00	99.91	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_22_length_91614_cov_46.674350	66191	66721	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_24_length_83988_cov_48.866442	22547	23920	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_25_length_78318_cov_50.632533	6928	8174	cardnewid_1828	1-1247/1275	===============	0/0	97.80	100.00	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_25_length_78318_cov_50.632533	44956	46364	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
36cc5dcf-7f2f-416c-b83f-31873778d7fa_1_contigs.fa	NODE_26_length_77811_cov_48.147529	10416	11903	cardnewid_776	1-1488/1488	===============	0/0	100.00	99.73	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
