#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
6528329d-2057-432e-bf0e-146fd569a392_1_contigs.fa	NODE_10_length_194365_cov_46.719586	89497	90690	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
6528329d-2057-432e-bf0e-146fd569a392_1_contigs.fa	NODE_10_length_194365_cov_46.719586	90713	93862	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.76	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
6528329d-2057-432e-bf0e-146fd569a392_1_contigs.fa	NODE_10_length_194365_cov_46.719586	182620	183777	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
6528329d-2057-432e-bf0e-146fd569a392_1_contigs.fa	NODE_12_length_179409_cov_44.899728	137799	138471	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
6528329d-2057-432e-bf0e-146fd569a392_1_contigs.fa	NODE_14_length_132478_cov_53.245028	74157	75530	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
6528329d-2057-432e-bf0e-146fd569a392_1_contigs.fa	NODE_15_length_123376_cov_40.819934	22300	22713	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
6528329d-2057-432e-bf0e-146fd569a392_1_contigs.fa	NODE_17_length_106888_cov_41.203790	45133	46541	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
6528329d-2057-432e-bf0e-146fd569a392_1_contigs.fa	NODE_18_length_102323_cov_43.309411	71183	72391	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
6528329d-2057-432e-bf0e-146fd569a392_1_contigs.fa	NODE_18_length_102323_cov_43.309411	81023	82249	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.29	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
6528329d-2057-432e-bf0e-146fd569a392_1_contigs.fa	NODE_19_length_99536_cov_38.054736	29690	30048	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
