#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
51ef404d-cf48-49c4-81fa-e53bb1887461_1_contigs.fa	NODE_10_length_173760_cov_40.068320	3458	4615	cardnewid_2001	1-1158/1158	===============	0/0	100.00	99.40	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
51ef404d-cf48-49c4-81fa-e53bb1887461_1_contigs.fa	NODE_10_length_173760_cov_40.068320	89478	92627	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.08	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
51ef404d-cf48-49c4-81fa-e53bb1887461_1_contigs.fa	NODE_10_length_173760_cov_40.068320	92650	93843	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.75	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
51ef404d-cf48-49c4-81fa-e53bb1887461_1_contigs.fa	NODE_11_length_160894_cov_40.436533	31690	35283	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.44	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
51ef404d-cf48-49c4-81fa-e53bb1887461_1_contigs.fa	NODE_11_length_160894_cov_40.436533	35288	35902	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
51ef404d-cf48-49c4-81fa-e53bb1887461_1_contigs.fa	NODE_11_length_160894_cov_40.436533	36426	37481	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.72	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
51ef404d-cf48-49c4-81fa-e53bb1887461_1_contigs.fa	NODE_11_length_160894_cov_40.436533	37481	39019	cardnewid_501	1-1539/1539	===============	0/0	100.00	99.68	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
51ef404d-cf48-49c4-81fa-e53bb1887461_1_contigs.fa	NODE_11_length_160894_cov_40.436533	142186	143154	cardnewid_1968	1-969/969	===============	0/0	100.00	99.28	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
51ef404d-cf48-49c4-81fa-e53bb1887461_1_contigs.fa	NODE_12_length_159493_cov_39.861062	24728	25258	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
51ef404d-cf48-49c4-81fa-e53bb1887461_1_contigs.fa	NODE_12_length_159493_cov_39.861062	25385	26557	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.53	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
