#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_11_length_125445_cov_43.375032	61285	62658	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.91	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_12_length_122986_cov_43.899356	57502	58032	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_12_length_122986_cov_43.899356	58159	59331	cardnewid_1650	1-1173/1173	===============	0/0	100.00	99.91	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_12_length_122986_cov_43.899356	59348	60886	cardnewid_1738	1-1539/1539	===============	0/0	100.00	100.00	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_13_length_119140_cov_43.149719	106213	106356	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_13_length_119140_cov_43.149719	110318	110995	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_14_length_113440_cov_44.723861	72012	72425	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_15_length_107955_cov_44.142745	16682	17908	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_15_length_107955_cov_44.142745	26537	27745	cardnewid_349	1-1209/1209	===============	0/0	100.00	100.00	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_17_length_97380_cov_46.477036	58475	60013	cardnewid_501	1-1539/1539	===============	0/0	100.00	99.03	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_17_length_97380_cov_46.477036	60013	61068	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.81	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_17_length_97380_cov_46.477036	61592	62206	cardnewid_954	1-615/615	===============	0/0	100.00	100.00	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_17_length_97380_cov_46.477036	62211	65804	cardnewid_1238	1-3594/3594	===============	0/0	100.00	100.00	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_19_length_91076_cov_43.353542	82407	83375	cardnewid_1968	1-969/969	===============	0/0	100.00	99.90	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_1_length_344831_cov_44.276284	318926	319284	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_1_length_344831_cov_44.276284	319276	319600	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_21_length_79105_cov_46.275573	30875	31258	cardnewid_1808	1-384/384	===============	0/0	100.00	100.00	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_27_length_51334_cov_47.979495	40232	41443	cardnewid_1119	22-1233/1233	===============	0/0	98.30	95.54	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_33_length_42322_cov_47.012688	35273	36430	cardnewid_1790	1-1158/1158	===============	0/0	100.00	100.00	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_33_length_42322_cov_47.012688	36455	39568	cardnewid_107	1-3114/3114	===============	0/0	100.00	99.97	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_33_length_42322_cov_47.012688	39931	40659	cardnewid_2042	1-729/729	===============	0/0	100.00	94.65	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_33_length_42322_cov_47.012688	41027	41851	cardnewid_80	1-825/825	===============	0/0	100.00	100.00	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_35_length_38797_cov_55.521539	26347	27755	cardnewid_1645	1-1409/1425	========/======	3/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_37_length_36775_cov_43.110197	680	1927	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.00	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
23f50fbe-b9e5-4a3b-a231-4aef08d6208d_1_contigs.fa	NODE_37_length_36775_cov_43.110197	1927	5049	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.81	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
