#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
c23c4453-e757-4493-907b-063611aa6bfa_1_contigs.fa	NODE_39_length_13537_cov_97.238856	1938	2753	resfindernewid_2806	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002806	resfinderformatted~~~resfindernewid_2806~~~002806
c23c4453-e757-4493-907b-063611aa6bfa_1_contigs.fa	NODE_39_length_13537_cov_97.238856	2814	3617	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
c23c4453-e757-4493-907b-063611aa6bfa_1_contigs.fa	NODE_39_length_13537_cov_97.238856	3617	4453	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
c23c4453-e757-4493-907b-063611aa6bfa_1_contigs.fa	NODE_39_length_13537_cov_97.238856	5516	5683	resfindernewid_159	1-175/972	===...../......	3/7	17.28	96.00	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
c23c4453-e757-4493-907b-063611aa6bfa_1_contigs.fa	NODE_39_length_13537_cov_97.238856	5700	6173	resfindernewid_3022	1-474/474	===============	0/0	100.00	99.79	resfinderformatted	003022	resfinderformatted~~~resfindernewid_3022~~~003022
c23c4453-e757-4493-907b-063611aa6bfa_1_contigs.fa	NODE_39_length_13537_cov_97.238856	6256	7057	resfindernewid_159	171-972/972	..=============	0/0	82.51	99.75	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
c23c4453-e757-4493-907b-063611aa6bfa_1_contigs.fa	NODE_39_length_13537_cov_97.238856	7535	8401	resfindernewid_2779	1-867/867	===============	0/0	100.00	99.88	resfinderformatted	002779	resfinderformatted~~~resfindernewid_2779~~~002779
c23c4453-e757-4493-907b-063611aa6bfa_1_contigs.fa	NODE_40_length_9094_cov_95.260730	1006	2252	resfindernewid_2879	1-1247/1275	===============	0/0	97.80	100.00	resfinderformatted	002879	resfinderformatted~~~resfindernewid_2879~~~002879
c23c4453-e757-4493-907b-063611aa6bfa_1_contigs.fa	NODE_49_length_1916_cov_101.871049	535	1395	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
c23c4453-e757-4493-907b-063611aa6bfa_1_contigs.fa	NODE_5_length_303161_cov_45.754995	79876	81108	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	98.78	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
