#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_11_length_137618_cov_49.222675	51661	52044	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_11_length_137618_cov_49.222675	90720	91044	cardnewid_2598	6-330/330	===============	0/0	98.48	75.08	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_11_length_137618_cov_49.222675	91036	91394	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_12_length_136591_cov_49.830332	126600	128008	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_14_length_134273_cov_51.466147	125657	126329	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_15_length_128570_cov_51.186656	99212	100420	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.43	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_15_length_128570_cov_51.186656	109051	110277	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.19	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_16_length_112421_cov_50.412804	74029	74442	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_17_length_111610_cov_54.581747	5359	8463	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_17_length_111610_cov_54.581747	8475	9632	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_17_length_111610_cov_54.581747	10031	10693	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_1_length_379525_cov_54.288756	346234	347772	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_1_length_379525_cov_54.288756	347789	348961	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.29	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_1_length_379525_cov_54.288756	349088	349618	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_20_length_104087_cov_55.473387	4654	5787	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.71	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_21_length_93076_cov_51.129120	75192	76940	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.26	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_25_length_64548_cov_55.741993	3672	5045	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_2_length_318134_cov_51.351245	19174	20421	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.88	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_2_length_318134_cov_51.351245	20421	23543	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.17	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_2_length_318134_cov_51.351245	23544	26621	cardnewid_1236	1-3078/3078	===============	0/0	100.00	99.84	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_2_length_318134_cov_51.351245	28034	29437	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
369cd5ea-9901-4a20-87b1-bac7fea4c2f5_1_contigs.fa	NODE_2_length_318134_cov_51.351245	29434	30156	cardnewid_1255	1-723/723	===============	0/0	100.00	100.00	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
