#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
eb3c717e-06da-4626-8cd8-b9c385d900ea_1_contigs.fa	NODE_21_length_70038_cov_67.612927	12561	12916	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
eb3c717e-06da-4626-8cd8-b9c385d900ea_1_contigs.fa	NODE_46_length_21475_cov_137.769605	1673	2919	resfindernewid_2879	1-1247/1275	===============	0/0	97.80	100.00	resfinderformatted	002879	resfinderformatted~~~resfindernewid_2879~~~002879
eb3c717e-06da-4626-8cd8-b9c385d900ea_1_contigs.fa	NODE_4_length_296733_cov_63.384833	148780	150012	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	99.92	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
eb3c717e-06da-4626-8cd8-b9c385d900ea_1_contigs.fa	NODE_59_length_10330_cov_117.034331	6820	7680	resfindernewid_1273	1-861/861	===============	0/0	100.00	99.88	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
eb3c717e-06da-4626-8cd8-b9c385d900ea_1_contigs.fa	NODE_68_length_6277_cov_963.827903	2323	3159	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
eb3c717e-06da-4626-8cd8-b9c385d900ea_1_contigs.fa	NODE_68_length_6277_cov_963.827903	3159	3962	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
eb3c717e-06da-4626-8cd8-b9c385d900ea_1_contigs.fa	NODE_68_length_6277_cov_963.827903	4023	4838	resfindernewid_2805	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002805	resfinderformatted~~~resfindernewid_2805~~~002805
eb3c717e-06da-4626-8cd8-b9c385d900ea_1_contigs.fa	NODE_77_length_3300_cov_76.348743	145	1066	resfindernewid_2511	1-921/921	========/======	1/1	100.00	99.67	resfinderformatted	002511	resfinderformatted~~~resfindernewid_2511~~~002511
eb3c717e-06da-4626-8cd8-b9c385d900ea_1_contigs.fa	NODE_77_length_3300_cov_76.348743	145	1050	resfindernewid_2510	1-906/906	===============	0/0	100.00	100.00	resfinderformatted	002510	resfinderformatted~~~resfindernewid_2510~~~002510
eb3c717e-06da-4626-8cd8-b9c385d900ea_1_contigs.fa	NODE_84_length_2018_cov_100.222050	77	741	resfindernewid_168	1-665/789	=============..	0/0	84.28	100.00	resfinderformatted	000168	resfinderformatted~~~resfindernewid_168~~~000168
eb3c717e-06da-4626-8cd8-b9c385d900ea_1_contigs.fa	NODE_84_length_2018_cov_100.222050	872	1345	resfindernewid_2982	1-474/474	===============	0/0	100.00	100.00	resfinderformatted	002982	resfinderformatted~~~resfindernewid_2982~~~002982
eb3c717e-06da-4626-8cd8-b9c385d900ea_1_contigs.fa	NODE_84_length_2018_cov_100.222050	1364	1530	resfindernewid_159	1-174/972	===...../......	3/7	17.18	95.98	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
