#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
ffb5f480-e3cf-4f6b-8f16-5418e940a11d_1_contigs.fa	NODE_10_length_138041_cov_20.930562	129383	130055	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
ffb5f480-e3cf-4f6b-8f16-5418e940a11d_1_contigs.fa	NODE_12_length_131719_cov_24.006632	70801	71620	cardnewid_1713	1-820/822	===============	0/0	99.76	98.66	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
ffb5f480-e3cf-4f6b-8f16-5418e940a11d_1_contigs.fa	NODE_12_length_131719_cov_24.006632	93979	95466	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.59	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
ffb5f480-e3cf-4f6b-8f16-5418e940a11d_1_contigs.fa	NODE_14_length_126964_cov_19.606469	16136	17884	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.03	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
ffb5f480-e3cf-4f6b-8f16-5418e940a11d_1_contigs.fa	NODE_14_length_126964_cov_19.606469	99618	100850	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.84	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
ffb5f480-e3cf-4f6b-8f16-5418e940a11d_1_contigs.fa	NODE_15_length_116434_cov_25.621278	454	1278	cardnewid_80	1-825/825	===============	0/0	100.00	97.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
ffb5f480-e3cf-4f6b-8f16-5418e940a11d_1_contigs.fa	NODE_15_length_116434_cov_25.621278	1646	2374	cardnewid_2042	1-729/729	===============	0/0	100.00	94.38	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
ffb5f480-e3cf-4f6b-8f16-5418e940a11d_1_contigs.fa	NODE_15_length_116434_cov_25.621278	2737	5850	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.52	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
ffb5f480-e3cf-4f6b-8f16-5418e940a11d_1_contigs.fa	NODE_15_length_116434_cov_25.621278	5875	7032	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.65	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
ffb5f480-e3cf-4f6b-8f16-5418e940a11d_1_contigs.fa	NODE_16_length_111161_cov_24.335557	100628	101290	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
