#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_10_length_196485_cov_18.823882	443	1267	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_10_length_196485_cov_18.823882	1636	2364	cardnewid_2042	1-729/729	===============	0/0	100.00	99.86	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_10_length_196485_cov_18.823882	2727	5840	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.37	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_10_length_196485_cov_18.823882	5865	7022	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_10_length_196485_cov_18.823882	180851	181483	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_11_length_170626_cov_17.911386	33408	33938	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_11_length_170626_cov_17.911386	34065	35237	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.12	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_11_length_170626_cov_17.911386	35254	36792	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.99	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_12_length_163752_cov_17.262221	10219	11376	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.32	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_12_length_163752_cov_17.262221	96109	99258	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.73	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_12_length_163752_cov_17.262221	99281	100474	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_14_length_150288_cov_16.875988	8475	9147	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_15_length_133220_cov_19.396183	57745	59118	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_16_length_131427_cov_18.617221	105216	106682	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.34	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_16_length_131427_cov_18.617221	106679	108730	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.03	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_16_length_131427_cov_18.617221	108730	109761	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.54	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
e5259f74-23e5-48ba-8e53-8b13f6da2f37_1_contigs.fa	NODE_1_length_537379_cov_16.218190	66518	67926	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
