#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_10_length_160507_cov_42.055713	127171	128709	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_10_length_160507_cov_42.055713	128726	129898	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.29	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_10_length_160507_cov_42.055713	130025	130555	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_12_length_146589_cov_40.873867	125115	126863	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.26	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_13_length_144346_cov_43.147502	27444	29087	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.39	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_13_length_144346_cov_43.147502	51807	52838	cardnewid_1350	1-1032/1032	===============	0/0	100.00	98.16	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_13_length_144346_cov_43.147502	52838	54889	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.73	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_13_length_144346_cov_43.147502	54886	56352	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_14_length_135316_cov_40.774215	126658	127330	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_15_length_111451_cov_42.454639	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_15_length_111451_cov_42.454639	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_15_length_111451_cov_42.454639	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_16_length_110149_cov_43.298178	7123	7845	cardnewid_1255	1-723/723	===============	0/0	100.00	99.31	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_16_length_110149_cov_43.298178	7842	9245	cardnewid_929	1-1404/1404	===============	0/0	100.00	99.57	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_16_length_110149_cov_43.298178	10658	13735	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.12	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_16_length_110149_cov_43.298178	13736	16858	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.92	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_16_length_110149_cov_43.298178	16858	18105	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.08	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_16_length_110149_cov_43.298178	67090	67722	cardnewid_912	1-633/1167	=========......	0/0	54.24	96.68	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_16_length_110149_cov_43.298178	85735	87143	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_18_length_88194_cov_43.123858	64130	65503	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_1_length_370233_cov_41.846886	145604	146761	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
c6cce41d-1e35-474b-b2ff-004d4cbf47b6_1_contigs.fa	NODE_1_length_370233_cov_41.846886	233947	237096	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.11	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
