#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_10_length_195672_cov_49.299046	49058	49588	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_10_length_195672_cov_49.299046	49715	50887	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_10_length_195672_cov_49.299046	50904	52442	cardnewid_1738	1-1539/1539	===============	0/0	100.00	96.95	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_11_length_186539_cov_47.942433	24730	24812	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_11_length_186539_cov_47.942433	56072	59185	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_12_length_174266_cov_42.255160	37966	38349	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_12_length_174266_cov_42.255160	121437	121761	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_12_length_174266_cov_42.255160	121753	122111	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.67	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_13_length_173352_cov_52.146813	113872	115338	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_13_length_173352_cov_52.146813	115335	117386	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_13_length_173352_cov_52.146813	117386	118417	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.64	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_13_length_173352_cov_52.146813	147632	149275	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.85	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_14_length_150519_cov_45.676527	82360	83768	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.19	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_15_length_143343_cov_50.439944	127280	128413	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_18_length_132397_cov_51.996304	74155	75528	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_1_length_346727_cov_50.249704	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.49	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_1_length_346727_cov_50.249704	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_1_length_346727_cov_50.249704	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_1_length_346727_cov_50.249704	210377	211196	cardnewid_1713	1-820/822	===============	0/0	99.76	98.17	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
768bc960-1733-4416-a86b-287bf968547e_1_contigs.fa	NODE_1_length_346727_cov_50.249704	238714	240201	cardnewid_776	1-1488/1488	===============	0/0	100.00	97.98	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
