#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_10_length_194096_cov_37.338941	97349	98575	cardnewid_562	1-1227/1227	===============	0/0	100.00	97.96	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_10_length_194096_cov_37.338941	107206	108414	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.18	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_12_length_153285_cov_47.724531	90241	91707	cardnewid_37	1-1467/1467	===============	0/0	100.00	96.86	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_12_length_153285_cov_47.724531	91704	93755	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.78	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_12_length_153285_cov_47.724531	93755	94786	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.87	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_12_length_153285_cov_47.724531	117730	119373	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.05	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_13_length_137827_cov_48.020566	39944	41317	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.82	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_15_length_99087_cov_39.020230	92414	93382	cardnewid_1968	1-969/969	===============	0/0	100.00	98.04	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_16_length_97780_cov_40.771020	21584	22888	cardnewid_1960	1-1305/1305	===============	0/0	100.00	96.32	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_16_length_97780_cov_40.771020	54409	57522	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.91	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_16_length_97780_cov_40.771020	78227	78703	cardnewid_1625	1-477/477	===============	0/0	100.00	97.90	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_1_length_691955_cov_36.490873	55183	56826	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.26	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_1_length_691955_cov_36.490873	199316	200037	cardnewid_1255	1-722/723	===============	0/0	99.86	98.20	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_1_length_691955_cov_36.490873	200034	201437	cardnewid_929	1-1404/1404	===============	0/0	100.00	97.65	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_1_length_691955_cov_36.490873	202850	205927	cardnewid_1236	1-3078/3078	===============	0/0	100.00	96.49	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_1_length_691955_cov_36.490873	205928	209050	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.70	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_1_length_691955_cov_36.490873	209050	210297	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.36	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_1_length_691955_cov_36.490873	261414	262580	cardnewid_912	1-1167/1167	===============	0/0	100.00	95.97	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_1_length_691955_cov_36.490873	304424	305832	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.05	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_1_length_691955_cov_36.490873	689341	689699	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_1_length_691955_cov_36.490873	689691	690015	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_20_length_78947_cov_33.115228	59395	59778	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_22_length_64899_cov_47.527383	48838	49971	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.97	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_26_length_48393_cov_38.463180	9493	11031	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.40	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_26_length_48393_cov_38.463180	11031	12086	cardnewid_568	1-1056/1056	===============	0/0	100.00	96.97	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_26_length_48393_cov_38.463180	12610	13224	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_26_length_48393_cov_38.463180	13229	16822	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.63	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
a0f077e1-0a70-45ce-b2c4-d99a0f948ab8_1_contigs.fa	NODE_29_length_41539_cov_66.108798	177	650	cardnewid_1482	1-474/474	===============	0/0	100.00	100.00	cardformatted	001482	cardformatted~~~cardnewid_1482~~~001482
