#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_100_length_2113_cov_83.386051	768	1427	cardnewid_716	1-660/660	===============	0/0	100.00	99.85	cardformatted	000716	cardformatted~~~cardnewid_716~~~000716
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_109_length_1794_cov_82.224228	1	85	cardnewid_134	1-85/792	==.............	0/0	10.73	100.00	cardformatted	000134	cardformatted~~~cardnewid_134~~~000134
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_109_length_1794_cov_82.224228	1718	1794	cardnewid_1952	133-209/786	..==...........	0/0	9.80	100.00	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_113_length_1718_cov_217.302864	1510	1718	cardnewid_1952	1-209/786	====...........	0/0	26.59	100.00	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_11_length_134271_cov_46.150431	7945	8617	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_120_length_1489_cov_100.718839	1	1061	cardnewid_1125	1-1061/1230	=============..	0/0	86.26	100.00	cardformatted	001125	cardformatted~~~cardnewid_1125~~~001125
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_134_length_1073_cov_77.437751	1	83	cardnewid_1952	133-215/786	..===..........	0/0	10.56	98.80	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_134_length_1073_cov_77.437751	84	581	cardnewid_1070	1-498/498	===============	0/0	100.00	100.00	cardformatted	001070	cardformatted~~~cardnewid_1070~~~001070
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_134_length_1073_cov_77.437751	989	1073	cardnewid_596	1-85/792	==.............	0/0	10.73	100.00	cardformatted	000596	cardformatted~~~cardnewid_596~~~000596
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_13_length_116392_cov_45.228096	48012	49420	cardnewid_1645	1-1409/1425	========/======	3/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_14_length_115911_cov_46.037277	29953	30483	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_14_length_115911_cov_46.037277	30610	31782	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.29	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_14_length_115911_cov_46.037277	31799	33337	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_152_length_722_cov_96.161240	1	78	cardnewid_2295	98-175/972	.==............	0/0	8.02	100.00	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_152_length_722_cov_96.161240	95	568	cardnewid_1874	1-474/474	===============	0/0	100.00	100.00	cardformatted	001874	cardformatted~~~cardnewid_1874~~~001874
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_152_length_722_cov_96.161240	651	722	cardnewid_2295	171-242/972	..==...........	0/0	7.41	100.00	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_157_length_660_cov_88.751286	188	520	cardnewid_2041	1-333/333	===============	0/0	100.00	91.59	cardformatted	002041	cardformatted~~~cardnewid_2041~~~002041
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_15_length_111451_cov_47.400875	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_15_length_111451_cov_47.400875	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_15_length_111451_cov_47.400875	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_17_length_102865_cov_45.422219	18298	19524	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.19	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_17_length_102865_cov_45.422219	28155	29363	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.43	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_19_length_92998_cov_44.950345	75114	76862	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.26	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
e64729b9-15e6-4fa1-b4d2-42f1c6aa8008_1_contigs.fa	NODE_1_length_428884_cov_47.922546	31727	35320	cardnewid_1238	1-3594/3594	===============	0/0	100.00	98.89	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
