#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
233cde47-bd88-47d2-8822-1495732210ad_1_contigs.fa	NODE_10_length_147559_cov_40.045870	84464	86002	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.99	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
233cde47-bd88-47d2-8822-1495732210ad_1_contigs.fa	NODE_10_length_147559_cov_40.045870	86019	87191	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.95	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
233cde47-bd88-47d2-8822-1495732210ad_1_contigs.fa	NODE_10_length_147559_cov_40.045870	87318	87848	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
233cde47-bd88-47d2-8822-1495732210ad_1_contigs.fa	NODE_11_length_147276_cov_41.844503	29013	30656	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.18	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
233cde47-bd88-47d2-8822-1495732210ad_1_contigs.fa	NODE_11_length_147276_cov_41.844503	53261	54292	cardnewid_1350	1-1032/1032	===============	0/0	100.00	96.41	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
233cde47-bd88-47d2-8822-1495732210ad_1_contigs.fa	NODE_11_length_147276_cov_41.844503	54292	56343	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.35	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
233cde47-bd88-47d2-8822-1495732210ad_1_contigs.fa	NODE_11_length_147276_cov_41.844503	56340	57806	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.48	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
233cde47-bd88-47d2-8822-1495732210ad_1_contigs.fa	NODE_12_length_146726_cov_41.699398	104981	105454	cardnewid_1874	1-474/474	===============	0/0	100.00	99.79	cardformatted	001874	cardformatted~~~cardnewid_1874~~~001874
233cde47-bd88-47d2-8822-1495732210ad_1_contigs.fa	NODE_12_length_146726_cov_41.699398	105549	106073	cardnewid_1215	1-525/525	===============	0/0	100.00	100.00	cardformatted	001215	cardformatted~~~cardnewid_1215~~~001215
233cde47-bd88-47d2-8822-1495732210ad_1_contigs.fa	NODE_12_length_146726_cov_41.699398	106120	106919	cardnewid_2295	170-972/972	..======/======	1/3	82.30	99.38	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
