#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_10_length_158931_cov_46.129289	94512	95978	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_10_length_158931_cov_46.129289	95975	98026	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.39	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_10_length_158931_cov_46.129289	98026	99057	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.97	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_10_length_158931_cov_46.129289	128457	130100	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.39	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_11_length_142738_cov_36.960213	7843	8515	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_12_length_139198_cov_47.574112	8022	9268	cardnewid_1828	1-1247/1275	===============	0/0	97.80	100.00	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_13_length_123485_cov_35.876248	35871	37037	cardnewid_912	1-1167/1167	========/======	6/12	99.49	84.31	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_13_length_123485_cov_35.876248	90761	92008	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.16	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_13_length_123485_cov_35.876248	92008	95130	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.78	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_13_length_123485_cov_35.876248	95131	98208	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.60	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_13_length_123485_cov_35.876248	99621	101024	cardnewid_929	1-1404/1404	===============	0/0	100.00	98.08	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_13_length_123485_cov_35.876248	101021	101743	cardnewid_1255	1-723/723	===============	0/0	100.00	99.45	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_18_length_86373_cov_46.781948	22505	23878	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_1_length_728673_cov_42.679464	78171	78701	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_1_length_728673_cov_42.679464	78828	80000	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.53	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_1_length_728673_cov_42.679464	80017	81555	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_1_length_728673_cov_42.679464	484594	486081	cardnewid_776	1-1488/1488	===============	0/0	100.00	99.73	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_1_length_728673_cov_42.679464	508365	509186	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_1_length_728673_cov_42.679464	717971	718633	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_1_length_728673_cov_42.679464	719032	720189	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.88	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_1_length_728673_cov_42.679464	720201	723305	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.13	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_20_length_71285_cov_33.487052	51619	52002	cardnewid_1808	1-384/384	===============	0/0	100.00	99.22	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_21_length_70919_cov_44.320573	48574	49707	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.53	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
76d9ddbd-c141-43d6-8493-de5bab1df2ab_1_contigs.fa	NODE_28_length_30866_cov_44.006983	22669	23021	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.56	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
