#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
12215ec0-8272-4614-84ef-3f7582428119_1_contigs.fa	NODE_10_length_186320_cov_37.985857	127227	130340	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.65	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
12215ec0-8272-4614-84ef-3f7582428119_1_contigs.fa	NODE_10_length_186320_cov_37.985857	161574	161656	cardnewid_1960	1-83/1305	=..............	0/0	6.36	95.18	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
12215ec0-8272-4614-84ef-3f7582428119_1_contigs.fa	NODE_11_length_182904_cov_39.461896	53780	54452	cardnewid_2055	1-673/678	===============	0/0	99.26	95.54	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
12215ec0-8272-4614-84ef-3f7582428119_1_contigs.fa	NODE_12_length_176749_cov_35.737723	174316	174729	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
12215ec0-8272-4614-84ef-3f7582428119_1_contigs.fa	NODE_14_length_175584_cov_40.759822	41927	42457	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
12215ec0-8272-4614-84ef-3f7582428119_1_contigs.fa	NODE_14_length_175584_cov_40.759822	42584	43756	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.04	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
12215ec0-8272-4614-84ef-3f7582428119_1_contigs.fa	NODE_14_length_175584_cov_40.759822	43773	45311	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.44	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
12215ec0-8272-4614-84ef-3f7582428119_1_contigs.fa	NODE_15_length_173506_cov_37.725380	26491	27459	cardnewid_1968	1-969/969	===============	0/0	100.00	97.63	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
12215ec0-8272-4614-84ef-3f7582428119_1_contigs.fa	NODE_15_length_173506_cov_37.725380	134485	136023	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.66	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
12215ec0-8272-4614-84ef-3f7582428119_1_contigs.fa	NODE_15_length_173506_cov_37.725380	136023	137078	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.73	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
12215ec0-8272-4614-84ef-3f7582428119_1_contigs.fa	NODE_15_length_173506_cov_37.725380	137602	138216	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
12215ec0-8272-4614-84ef-3f7582428119_1_contigs.fa	NODE_15_length_173506_cov_37.725380	138221	141814	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.33	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
