#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
479c728d-e4c4-40a7-b0ef-1cfc33fc9789_1_contigs.fa	NODE_10_length_161105_cov_37.341021	150572	151234	cardnewid_486	1-663/663	===============	0/0	100.00	97.13	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
479c728d-e4c4-40a7-b0ef-1cfc33fc9789_1_contigs.fa	NODE_10_length_161105_cov_37.341021	151633	152790	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.27	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
479c728d-e4c4-40a7-b0ef-1cfc33fc9789_1_contigs.fa	NODE_10_length_161105_cov_37.341021	152802	155906	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.13	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
479c728d-e4c4-40a7-b0ef-1cfc33fc9789_1_contigs.fa	NODE_11_length_128005_cov_38.519073	60167	61534	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
479c728d-e4c4-40a7-b0ef-1cfc33fc9789_1_contigs.fa	NODE_15_length_73085_cov_34.699622	22798	24336	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.18	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
479c728d-e4c4-40a7-b0ef-1cfc33fc9789_1_contigs.fa	NODE_15_length_73085_cov_34.699622	24353	25525	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.12	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
479c728d-e4c4-40a7-b0ef-1cfc33fc9789_1_contigs.fa	NODE_15_length_73085_cov_34.699622	25652	26182	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
479c728d-e4c4-40a7-b0ef-1cfc33fc9789_1_contigs.fa	NODE_18_length_29819_cov_36.454845	7725	8077	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.98	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
479c728d-e4c4-40a7-b0ef-1cfc33fc9789_1_contigs.fa	NODE_1_length_1218322_cov_32.088798	29566	29949	cardnewid_1808	1-384/384	===============	0/0	100.00	98.96	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
479c728d-e4c4-40a7-b0ef-1cfc33fc9789_1_contigs.fa	NODE_1_length_1218322_cov_32.088798	113688	114012	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
479c728d-e4c4-40a7-b0ef-1cfc33fc9789_1_contigs.fa	NODE_1_length_1218322_cov_32.088798	114004	114362	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.11	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
479c728d-e4c4-40a7-b0ef-1cfc33fc9789_1_contigs.fa	NODE_1_length_1218322_cov_32.088798	437247	437579	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
