#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_10_length_180055_cov_52.342759	127713	129251	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.86	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_10_length_180055_cov_52.342759	129268	130440	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_10_length_180055_cov_52.342759	130567	131097	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_11_length_177036_cov_57.690007	111785	113251	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.75	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_11_length_177036_cov_57.690007	113248	115299	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.27	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_11_length_177036_cov_57.690007	115299	116330	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.54	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_11_length_177036_cov_57.690007	145551	147194	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.48	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_13_length_168294_cov_53.501614	24219	25038	cardnewid_1713	1-820/822	===============	0/0	99.76	97.44	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_13_length_168294_cov_53.501614	50726	52213	cardnewid_776	1-1488/1488	========/======	2/6	99.80	97.45	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_16_length_128819_cov_59.237599	53545	54918	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_1_length_567912_cov_44.609043	66626	68034	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_1_length_567912_cov_44.609043	175147	175479	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_1_length_567912_cov_44.609043	499352	499710	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.11	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_1_length_567912_cov_44.609043	499702	500026	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_1_length_567912_cov_44.609043	537691	538074	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_24_length_91798_cov_48.506580	49655	50887	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.27	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_2_length_457288_cov_48.145091	23841	25007	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.06	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_2_length_457288_cov_48.145091	81108	82355	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.75	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_2_length_457288_cov_48.145091	82355	85477	cardnewid_772	1-3123/3123	===============	0/0	100.00	95.39	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_2_length_457288_cov_48.145091	85478	88555	cardnewid_1236	1-3078/3078	===============	0/0	100.00	92.27	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_2_length_457288_cov_48.145091	89968	91371	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_2_length_457288_cov_48.145091	91368	92089	cardnewid_1255	1-722/723	===============	0/0	99.86	97.23	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_2_length_457288_cov_48.145091	261015	262658	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.05	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_2_length_457288_cov_48.145091	320910	321878	cardnewid_1968	1-969/969	===============	0/0	100.00	97.83	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_2_length_457288_cov_48.145091	418182	419720	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.60	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_2_length_457288_cov_48.145091	419720	420775	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.54	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_2_length_457288_cov_48.145091	421299	421913	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_2_length_457288_cov_48.145091	421918	425511	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.24	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_32_length_29819_cov_59.559075	21743	22095	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	76.12	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_3_length_349487_cov_49.958954	10128	11285	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.41	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_3_length_349487_cov_49.958954	96194	99343	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.70	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_3_length_349487_cov_49.958954	99366	100559	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_3_length_349487_cov_49.958954	302329	303001	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_4_length_297845_cov_44.894287	207690	208103	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
b8f6010d-8825-4447-a505-7bf83b672a26_1_contigs.fa	NODE_5_length_280935_cov_46.963779	51448	53196	cardnewid_2113	1-1749/1749	===============	0/0	100.00	97.77	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
