#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_100_length_1281_cov_120.982558	225	1085	cardnewid_45	1-861/861	===============	0/0	100.00	99.88	cardformatted	000045	cardformatted~~~cardnewid_45~~~000045
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_10_length_137783_cov_41.526985	76557	78095	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.57	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_10_length_137783_cov_41.526985	78112	79284	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.87	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_10_length_137783_cov_41.526985	79411	79941	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_11_length_134977_cov_40.367702	118231	118953	cardnewid_1255	1-723/723	===============	0/0	100.00	100.00	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_11_length_134977_cov_40.367702	118950	120353	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_11_length_134977_cov_40.367702	121766	124843	cardnewid_1236	1-3078/3078	===============	0/0	100.00	99.84	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_11_length_134977_cov_40.367702	124844	127966	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.71	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_11_length_134977_cov_40.367702	127966	129213	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.00	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_13_length_125597_cov_43.037803	62947	64320	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_14_length_119071_cov_43.472259	106144	106287	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_14_length_119071_cov_43.472259	110249	110926	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_17_length_105839_cov_44.030692	60088	61320	cardnewid_2329	1-1233/1233	===============	0/0	100.00	98.38	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_19_length_103561_cov_49.429264	62129	62542	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_21_length_85935_cov_42.612069	46666	48153	cardnewid_776	1-1488/1488	===============	0/0	100.00	99.93	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_21_length_85935_cov_42.612069	70433	71252	cardnewid_1713	1-820/822	===============	0/0	99.76	98.54	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_23_length_73823_cov_41.173135	18818	20461	cardnewid_2133	1-1644/1644	===============	0/0	100.00	100.00	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_2_length_287789_cov_39.970940	206491	206849	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_2_length_287789_cov_39.970940	206841	207165	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_2_length_287789_cov_39.970940	239558	239941	cardnewid_1808	1-384/384	===============	0/0	100.00	100.00	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_33_length_49282_cov_46.627233	19640	20848	cardnewid_349	1-1209/1209	===============	0/0	100.00	99.92	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_33_length_49282_cov_46.627233	29476	30702	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_35_length_46070_cov_42.138173	78	281	cardnewid_1353	1-204/1158	===............	0/0	17.62	100.00	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_35_length_46070_cov_42.138173	680	1342	cardnewid_486	1-663/663	===============	0/0	100.00	100.00	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_37_length_42321_cov_40.699673	472	1296	cardnewid_80	1-825/825	===============	0/0	100.00	100.00	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_37_length_42321_cov_40.699673	1664	2392	cardnewid_2042	1-729/729	===============	0/0	100.00	94.65	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_37_length_42321_cov_40.699673	2755	5868	cardnewid_107	1-3114/3114	===============	0/0	100.00	99.97	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_37_length_42321_cov_40.699673	5893	7050	cardnewid_1790	1-1158/1158	===============	0/0	100.00	100.00	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_3_length_213662_cov_43.720687	85097	86254	cardnewid_2001	1-1158/1158	===============	0/0	100.00	100.00	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_3_length_213662_cov_43.720687	171221	174370	cardnewid_1033	1-3150/3150	===============	0/0	100.00	100.00	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_3_length_213662_cov_43.720687	174393	175586	cardnewid_2244	1-1194/1194	===============	0/0	100.00	100.00	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_45_length_30887_cov_44.689289	22690	23042	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.56	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_48_length_27390_cov_40.750302	13060	13392	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_49_length_27080_cov_39.895641	25701	27005	cardnewid_1960	1-1305/1305	===============	0/0	100.00	95.94	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_4_length_193453_cov_39.744829	31573	35166	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.74	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_4_length_193453_cov_39.744829	35171	35785	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_4_length_193453_cov_39.744829	36309	37364	cardnewid_568	1-1056/1056	===============	0/0	100.00	98.01	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_4_length_193453_cov_39.744829	37364	38902	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.66	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_4_length_193453_cov_39.744829	150908	151876	cardnewid_1968	1-969/969	===============	0/0	100.00	98.04	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_54_length_19380_cov_43.862975	335	1567	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.27	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_5_length_181077_cov_41.348210	31252	34365	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.78	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_5_length_181077_cov_41.348210	55072	55546	cardnewid_1625	3-477/477	===============	0/0	99.58	96.21	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_63_length_12941_cov_37.991760	5211	6618	cardnewid_1645	1-1409/1425	========/======	3/5	98.67	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_68_length_9353_cov_41.238034	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.97	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_68_length_9353_cov_41.238034	8316	9282	cardnewid_1353	192-1158/1158	..=============	0/0	83.51	99.90	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_6_length_174634_cov_42.559897	38149	39282	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.27	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_6_length_174634_cov_42.559897	81510	83153	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.94	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_6_length_174634_cov_42.559897	112852	113883	cardnewid_1350	1-1032/1032	===============	0/0	100.00	100.00	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_6_length_174634_cov_42.559897	113883	115934	cardnewid_1932	1-2052/2052	===============	0/0	100.00	99.95	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_6_length_174634_cov_42.559897	115931	117397	cardnewid_37	1-1467/1467	===============	0/0	100.00	100.00	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_73_length_6926_cov_144.316543	2203	3042	cardnewid_1001	1-840/840	===============	0/0	100.00	100.00	cardformatted	001001	cardformatted~~~cardnewid_1001~~~001001
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_73_length_6926_cov_144.316543	3589	4377	cardnewid_1330	1-789/789	===============	0/0	100.00	100.00	cardformatted	001330	cardformatted~~~cardnewid_1330~~~001330
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_73_length_6926_cov_144.316543	4508	4981	cardnewid_1073	1-474/474	===============	0/0	100.00	100.00	cardformatted	001073	cardformatted~~~cardnewid_1073~~~001073
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_73_length_6926_cov_144.316543	4995	5209	cardnewid_1952	1-215/786	=====..........	0/0	27.35	99.53	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_74_length_6447_cov_122.644741	1022	2227	cardnewid_452	1-1206/1206	===============	0/0	100.00	99.75	cardformatted	000452	cardformatted~~~cardnewid_452~~~000452
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_79_length_4540_cov_137.444768	86	922	cardnewid_969	1-837/837	===============	0/0	100.00	99.88	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_79_length_4540_cov_137.444768	922	1725	cardnewid_1722	1-804/804	===============	0/0	100.00	99.75	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_79_length_4540_cov_137.444768	1786	2601	cardnewid_890	1-816/816	===============	0/0	100.00	99.63	cardformatted	000890	cardformatted~~~cardnewid_890~~~000890
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_8_length_148756_cov_44.636627	125222	126970	cardnewid_2113	1-1749/1749	===============	0/0	100.00	100.00	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_92_length_1762_cov_106.281675	748	1404	cardnewid_355	1-657/657	===============	0/0	100.00	100.00	cardformatted	000355	cardformatted~~~cardnewid_355~~~000355
eae58f2a-173c-4476-b6ec-6396b3fcfe8f_1_contigs.fa	NODE_9_length_147374_cov_42.761292	131740	132372	cardnewid_816	1-633/633	===============	0/0	100.00	99.68	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
