#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_10_length_133516_cov_59.843292	15079	15711	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_11_length_129870_cov_55.495219	9494	10171	cardnewid_2055	1-678/678	===============	0/0	100.00	96.31	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_12_length_127672_cov_55.932082	101876	103033	cardnewid_2001	1-1158/1158	===============	0/0	100.00	96.89	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_14_length_117004_cov_55.419150	29774	30106	cardnewid_2240	1-333/333	===============	0/0	100.00	99.40	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_15_length_112775_cov_51.680012	16683	17910	cardnewid_562	1-1227/1227	========/======	1/1	100.00	97.56	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_15_length_112775_cov_51.680012	26541	27749	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.18	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_18_length_102366_cov_50.189180	23228	23611	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_1_length_647307_cov_58.856162	300174	301406	cardnewid_1119	1-1233/1233	===============	0/0	100.00	97.81	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_1_length_647307_cov_58.856162	479178	480311	cardnewid_2338	1-1134/1134	===============	0/0	100.00	96.56	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_1_length_647307_cov_58.856162	520585	522228	cardnewid_609	1-1644/1644	===============	0/0	100.00	97.99	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_1_length_647307_cov_58.856162	551530	552561	cardnewid_1350	1-1032/1032	===============	0/0	100.00	96.51	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_1_length_647307_cov_58.856162	552561	554612	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.78	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_1_length_647307_cov_58.856162	554609	556075	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.07	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_20_length_96438_cov_56.149075	25774	26967	cardnewid_2244	1-1194/1194	===============	0/0	100.00	98.99	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_20_length_96438_cov_56.149075	26990	30139	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.86	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_24_length_74642_cov_61.409321	62475	63848	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_28_length_54493_cov_53.590304	40222	41970	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.97	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_2_length_549436_cov_52.419285	120564	121730	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.14	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_2_length_549436_cov_52.419285	170772	172019	cardnewid_360	1-1248/1248	===============	0/0	100.00	96.88	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_2_length_549436_cov_52.419285	172019	175141	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.50	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
25dc15b7-c6f3-4230-8398-076a808d36fd_1_contigs.fa	NODE_2_length_549436_cov_52.419285	175143	178219	cardnewid_1236	2-3078/3078	===============	0/0	99.97	97.17	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
