#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_11_length_175853_cov_51.685241	27949	29592	cardnewid_609	1-1644/1644	===============	0/0	100.00	93.31	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_11_length_175853_cov_51.685241	58787	59818	cardnewid_1350	1-1032/1032	===============	0/0	100.00	94.96	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_11_length_175853_cov_51.685241	59818	61869	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.51	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_11_length_175853_cov_51.685241	61866	63332	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.82	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_12_length_173999_cov_39.738745	40739	41411	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_13_length_163969_cov_44.607296	30302	30832	cardnewid_1248	1-531/531	===============	0/0	100.00	98.87	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_13_length_163969_cov_44.607296	30959	32131	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.87	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_13_length_163969_cov_44.607296	32148	33686	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.86	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_14_length_158848_cov_53.529404	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.62	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_15_length_125044_cov_43.203566	82342	82755	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_17_length_112712_cov_39.197785	19501	20667	cardnewid_912	1-1167/1167	===============	0/0	100.00	98.11	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_17_length_112712_cov_39.197785	73156	74403	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.19	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_17_length_112712_cov_39.197785	74403	77525	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.64	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_17_length_112712_cov_39.197785	77526	80603	cardnewid_1236	1-3078/3078	===============	0/0	100.00	94.22	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_17_length_112712_cov_39.197785	82016	83419	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_17_length_112712_cov_39.197785	83416	84137	cardnewid_1255	1-722/723	===============	0/0	99.86	97.23	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_19_length_97291_cov_53.891230	74147	75520	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.18	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_1_length_404724_cov_40.246306	78323	79531	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_1_length_404724_cov_40.246306	88162	89388	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.37	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_1_length_404724_cov_40.246306	214063	215811	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_1_length_404724_cov_40.246306	303282	304514	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.35	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_21_length_68508_cov_52.743201	41181	42413	cardnewid_1119	1-1233/1233	===============	0/0	100.00	95.05	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_22_length_66167_cov_38.189983	15992	17400	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_25_length_47394_cov_52.526830	31578	35171	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.30	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_25_length_47394_cov_52.526830	35176	35790	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_25_length_47394_cov_52.526830	36314	37369	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.54	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_25_length_47394_cov_52.526830	37369	38907	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.73	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_2_length_403630_cov_39.773091	22960	23292	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_2_length_403630_cov_39.773091	347391	347749	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_2_length_403630_cov_39.773091	347741	348065	cardnewid_2598	6-330/330	===============	0/0	98.48	75.08	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_2_length_403630_cov_39.773091	384644	385027	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_31_length_29943_cov_50.897542	7851	8203	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.84	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_3_length_357606_cov_51.624414	119881	121368	cardnewid_776	1-1488/1488	===============	0/0	100.00	97.72	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_3_length_357606_cov_51.624414	147153	147972	cardnewid_1713	1-820/822	===============	0/0	99.76	98.17	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_3_length_357606_cov_51.624414	346799	347461	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
65c8f0b3-b45f-4689-a637-66907197f8a9_1_contigs.fa	NODE_3_length_357606_cov_51.624414	347860	349017	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
