#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_11_length_167239_cov_56.823871	38229	39422	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.83	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_11_length_167239_cov_56.823871	39445	42594	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.27	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_11_length_167239_cov_56.823871	129667	130824	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_12_length_165710_cov_61.209469	87986	89452	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.16	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_12_length_165710_cov_61.209469	89449	91500	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.73	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_12_length_165710_cov_61.209469	91500	92531	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.97	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_12_length_165710_cov_61.209469	115260	116903	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.21	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_14_length_135564_cov_57.108896	126763	127435	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_18_length_90764_cov_61.282444	64210	65583	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_1_length_537894_cov_56.654139	3661	4908	cardnewid_360	1-1248/1248	===============	0/0	100.00	99.92	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_1_length_537894_cov_56.654139	4908	8030	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.95	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_1_length_537894_cov_56.654139	8031	11108	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.15	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_1_length_537894_cov_56.654139	12521	13924	cardnewid_929	1-1404/1404	===============	0/0	100.00	98.65	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_1_length_537894_cov_56.654139	13921	14643	cardnewid_1255	1-723/723	===============	0/0	100.00	99.45	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_1_length_537894_cov_56.654139	162568	164211	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.24	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_1_length_537894_cov_56.654139	211229	212197	cardnewid_1968	1-969/969	===============	0/0	100.00	99.17	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_1_length_537894_cov_56.654139	313443	314981	cardnewid_501	1-1539/1539	===============	0/0	100.00	98.83	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_1_length_537894_cov_56.654139	314981	316036	cardnewid_568	1-1056/1056	===============	0/0	100.00	98.67	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_1_length_537894_cov_56.654139	316560	317174	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_1_length_537894_cov_56.654139	317179	320772	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.55	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_1_length_537894_cov_56.654139	378481	379785	cardnewid_1960	1-1305/1305	===============	0/0	100.00	98.24	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_1_length_537894_cov_56.654139	410903	414016	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_1_length_537894_cov_56.654139	435504	435978	cardnewid_1625	3-477/477	===============	0/0	99.58	97.47	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_20_length_73548_cov_64.320902	21556	21939	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_21_length_61994_cov_99.286513	177	650	cardnewid_1482	1-474/474	===============	0/0	100.00	100.00	cardformatted	001482	cardformatted~~~cardnewid_1482~~~001482
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_21_length_61994_cov_99.286513	667	876	cardnewid_1952	1-210/786	=====..........	0/0	26.72	100.00	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_21_length_61994_cov_99.286513	7091	8337	cardnewid_1828	1-1247/1275	===============	0/0	97.80	100.00	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
46a410d7-c850-48de-aeb3-4ad2f8ddbe15_1_contigs.fa	NODE_24_length_54946_cov_56.639305	49151	50284	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.62	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
