#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_10_length_186504_cov_48.856882	24731	24813	cardnewid_1960	1-83/1305	=..............	0/0	6.36	95.18	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_10_length_186504_cov_48.856882	56047	59160	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.65	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_11_length_182374_cov_50.258545	54126	55094	cardnewid_1968	1-969/969	===============	0/0	100.00	97.63	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_11_length_182374_cov_50.258545	162119	163657	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.66	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_11_length_182374_cov_50.258545	163657	164712	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.73	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_11_length_182374_cov_50.258545	165236	165850	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_11_length_182374_cov_50.258545	165855	169448	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.33	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_12_length_180696_cov_51.800641	130166	131704	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.44	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_12_length_180696_cov_51.800641	131721	132893	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.04	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_12_length_180696_cov_51.800641	133020	133550	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_14_length_158913_cov_54.231648	148380	149042	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_14_length_158913_cov_54.231648	149441	150598	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_14_length_158913_cov_54.231648	150610	153714	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.62	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_15_length_145558_cov_52.452980	105700	106113	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_16_length_143278_cov_48.213071	16235	16618	cardnewid_1808	1-384/384	===============	0/0	100.00	98.96	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_16_length_143278_cov_48.213071	47183	47507	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_16_length_143278_cov_48.213071	47499	47857	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_18_length_136520_cov_50.360356	28813	29145	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_1_length_371633_cov_49.060933	149815	150487	cardnewid_2055	1-673/678	===============	0/0	99.26	95.54	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_1_length_371633_cov_49.060933	304611	305843	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.27	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_20_length_123751_cov_54.929832	66472	67839	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_24_length_68264_cov_46.904425	24056	25464	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
817bd7eb-330c-4217-abef-39c9cbfbe29e_1_contigs.fa	NODE_27_length_29819_cov_50.951416	7725	8077	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.98	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
