#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_10_length_137226_cov_40.527849	28813	30021	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.18	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_10_length_137226_cov_40.527849	38652	39878	cardnewid_562	1-1227/1227	===============	0/0	100.00	97.96	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_111_length_672_cov_125.235294	77	374	cardnewid_716	1-298/660	=======........	0/0	45.15	100.00	cardformatted	000716	cardformatted~~~cardnewid_716~~~000716
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_11_length_137031_cov_41.145385	60365	63514	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.98	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_11_length_137031_cov_41.145385	63537	64730	cardnewid_2244	1-1194/1194	===============	0/0	100.00	98.99	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_15_length_109013_cov_41.233568	5706	6674	cardnewid_1968	1-969/969	===============	0/0	100.00	98.04	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_15_length_109013_cov_41.233568	108428	108939	cardnewid_501	1028-1539/1539	..........=====	0/0	33.27	97.46	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_19_length_97813_cov_40.243411	19078	19554	cardnewid_1625	1-477/477	===============	0/0	100.00	97.90	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_19_length_97813_cov_40.243411	40258	43371	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.91	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_19_length_97813_cov_40.243411	74892	76196	cardnewid_1960	1-1305/1305	===============	0/0	100.00	96.32	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_1_length_377275_cov_39.395111	320449	320807	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_1_length_377275_cov_39.395111	320799	321123	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_21_length_92741_cov_44.600600	77032	77664	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_22_length_89509_cov_40.397430	24807	26555	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.80	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_24_length_86609_cov_46.184475	54164	55396	cardnewid_1119	1-1233/1233	===============	0/0	100.00	100.00	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_25_length_83980_cov_42.913841	77711	78868	cardnewid_2001	1-1158/1158	===============	0/0	100.00	96.72	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_26_length_75769_cov_47.411959	68747	69904	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_26_length_75769_cov_47.411959	69929	73042	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.23	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_26_length_75769_cov_47.411959	73405	74133	cardnewid_2042	1-729/729	===============	0/0	100.00	95.75	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_26_length_75769_cov_47.411959	74502	75326	cardnewid_80	1-825/825	===============	0/0	100.00	96.85	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_30_length_59604_cov_45.685134	9176	10663	cardnewid_776	1-1488/1488	===============	0/0	100.00	100.00	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_31_length_56460_cov_46.839012	39944	41317	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.82	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_33_length_53411_cov_40.396314	50336	50719	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_39_length_38466_cov_45.332283	74	1104	cardnewid_501	1-1031/1539	===========....	0/0	66.99	97.38	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_39_length_38466_cov_45.332283	1104	2159	cardnewid_568	1-1056/1056	===============	0/0	100.00	96.97	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_39_length_38466_cov_45.332283	2683	3297	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_39_length_38466_cov_45.332283	3302	6895	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.61	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_3_length_234115_cov_40.617938	28449	29170	cardnewid_1255	1-722/723	===============	0/0	99.86	98.20	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_3_length_234115_cov_40.617938	29167	30570	cardnewid_929	1-1404/1404	===============	0/0	100.00	97.58	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_3_length_234115_cov_40.617938	31983	35060	cardnewid_1236	1-3078/3078	===============	0/0	100.00	96.49	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_3_length_234115_cov_40.617938	35061	38183	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.70	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_3_length_234115_cov_40.617938	38183	39430	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.36	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_3_length_234115_cov_40.617938	90875	92041	cardnewid_912	1-1167/1167	===============	0/0	100.00	95.97	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_3_length_234115_cov_40.617938	198417	199825	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.05	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_46_length_30798_cov_44.802871	7725	8077	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.98	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_4_length_223293_cov_44.714752	12008	12827	cardnewid_1713	1-820/822	===============	0/0	99.76	97.68	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_4_length_223293_cov_44.714752	212365	213027	cardnewid_486	1-663/663	===============	0/0	100.00	96.98	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_4_length_223293_cov_44.714752	213426	214583	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_4_length_223293_cov_44.714752	214595	217699	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.97	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
0fa661b6-271e-4201-aaa3-8739dfbe5c0f_1_contigs.fa	NODE_5_length_210511_cov_46.133025	90241	91707	cardnewid_37	1-1467/1467	===============	0/0	100.00	96.86	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
