#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_10_length_206951_cov_18.436976	38531	39688	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.45	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_11_length_199507_cov_19.386406	15004	15636	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_11_length_199507_cov_19.386406	192476	193633	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.45	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_11_length_199507_cov_19.386406	193658	196771	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.07	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_11_length_199507_cov_19.386406	197134	197862	cardnewid_2042	1-729/729	===============	0/0	100.00	96.02	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_11_length_199507_cov_19.386406	198231	199055	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_12_length_192029_cov_17.249964	5589	6997	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_12_length_192029_cov_17.249964	47817	48983	cardnewid_912	1-1167/1167	===============	0/0	100.00	98.11	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_12_length_192029_cov_17.249964	106078	107325	cardnewid_360	1-1248/1248	===============	0/0	100.00	96.23	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_12_length_192029_cov_17.249964	107325	110447	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.00	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_12_length_192029_cov_17.249964	110448	113525	cardnewid_1236	1-3078/3078	===============	0/0	100.00	95.55	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_12_length_192029_cov_17.249964	114938	116341	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_12_length_192029_cov_17.249964	116338	117059	cardnewid_1255	1-722/723	===============	0/0	99.86	98.06	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_13_length_179076_cov_17.585819	69315	69992	cardnewid_2055	1-678/678	===============	0/0	100.00	96.61	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_16_length_103356_cov_17.972812	2709	5858	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.08	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_16_length_103356_cov_17.972812	5881	7074	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.08	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_19_length_60837_cov_17.355415	27059	28291	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.76	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_1_length_406257_cov_16.026744	50334	50717	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_1_length_406257_cov_16.026744	136437	136761	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_1_length_406257_cov_16.026744	136753	137111	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_23_length_51480_cov_19.909091	3687	5060	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.69	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_2_length_367336_cov_18.427791	310196	311734	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.12	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_2_length_367336_cov_18.427791	311751	312923	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.29	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_2_length_367336_cov_18.427791	313050	313580	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_30_length_29879_cov_19.369472	21803	22155	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.84	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_33_length_26365_cov_45.373402	77	643	cardnewid_836	1-567/801	===========....	0/0	70.79	100.00	cardformatted	000836	cardformatted~~~cardnewid_836~~~000836
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_33_length_26365_cov_45.373402	1083	1877	cardnewid_1950	1-795/795	===============	0/0	100.00	100.00	cardformatted	001950	cardformatted~~~cardnewid_1950~~~001950
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_37_length_15280_cov_46.514043	77	182	cardnewid_969	732-837/837	.............==	0/0	12.66	99.06	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_3_length_354645_cov_19.205650	108812	110299	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.12	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_3_length_354645_cov_19.205650	130635	131454	cardnewid_1713	1-820/822	===============	0/0	99.76	97.93	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_3_length_354645_cov_19.205650	344111	344773	cardnewid_486	1-663/663	===============	0/0	100.00	97.59	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_3_length_354645_cov_19.205650	345172	346329	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.01	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_3_length_354645_cov_19.205650	346341	349445	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.87	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_45_length_3856_cov_65.411485	1057	2303	cardnewid_1828	1-1247/1275	===============	0/0	97.80	100.00	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_4_length_340414_cov_18.890394	294412	295644	cardnewid_1119	1-1233/1233	===============	0/0	100.00	95.70	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_50_length_1557_cov_128.847297	609	1469	cardnewid_331	1-861/861	===============	0/0	100.00	99.88	cardformatted	000331	cardformatted~~~cardnewid_331~~~000331
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_5_length_317084_cov_19.688344	105073	106539	cardnewid_37	1-1467/1467	===============	0/0	100.00	96.80	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_5_length_317084_cov_19.688344	106536	108587	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_5_length_317084_cov_19.688344	108587	109618	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.77	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_5_length_317084_cov_19.688344	138862	140505	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.33	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_5_length_317084_cov_19.688344	182722	183855	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.62	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_6_length_303150_cov_16.557100	1572	1985	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_6_length_303150_cov_16.557100	157492	158700	cardnewid_349	1-1209/1209	===============	0/0	100.00	97.85	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_6_length_303150_cov_16.557100	167332	168558	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.29	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_6_length_303150_cov_16.557100	294849	296597	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.57	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_7_length_298615_cov_17.411586	29862	33455	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.58	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_7_length_298615_cov_17.411586	33460	34074	cardnewid_954	1-615/615	===============	0/0	100.00	98.86	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_7_length_298615_cov_17.411586	34597	35652	cardnewid_568	1-1056/1056	===============	0/0	100.00	96.69	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_7_length_298615_cov_17.411586	35652	37190	cardnewid_501	1-1539/1539	===============	0/0	100.00	98.05	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_7_length_298615_cov_17.411586	152501	153469	cardnewid_1968	1-969/969	===============	0/0	100.00	98.04	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_7_length_298615_cov_17.411586	217161	218804	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.32	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_9_length_209320_cov_17.733038	27606	28910	cardnewid_1960	1-1305/1305	===============	0/0	100.00	95.94	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_9_length_209320_cov_17.733038	60032	63145	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.68	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
11c0ca61-3084-4173-b383-c168687a362e_1_contigs.fa	NODE_9_length_209320_cov_17.733038	83850	84326	cardnewid_1625	1-477/477	===============	0/0	100.00	97.27	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
