#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_10_length_176272_cov_32.613037	38212	38933	cardnewid_1255	1-722/723	===============	0/0	99.86	97.37	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_10_length_176272_cov_32.613037	38930	40333	cardnewid_929	1-1404/1404	===============	0/0	100.00	96.94	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_10_length_176272_cov_32.613037	41746	44823	cardnewid_1236	1-3078/3078	===============	0/0	100.00	96.39	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_10_length_176272_cov_32.613037	44824	47946	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.02	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_10_length_176272_cov_32.613037	47946	49193	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.12	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_10_length_176272_cov_32.613037	105063	106229	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.57	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_11_length_171924_cov_33.242792	75577	77325	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.74	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_12_length_142167_cov_32.954057	22071	23303	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.59	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_13_length_133359_cov_33.325348	42854	44086	cardnewid_1119	1-1233/1233	===============	0/0	100.00	97.24	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_16_length_123274_cov_33.051665	15084	15716	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_18_length_110021_cov_33.726734	24683	25909	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.37	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_18_length_110021_cov_33.726734	34539	35747	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.43	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_1_length_306352_cov_33.196444	71267	72754	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.52	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_1_length_306352_cov_33.196444	98440	99259	cardnewid_1713	1-820/822	===============	0/0	99.76	96.83	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_1_length_306352_cov_33.196444	295819	296481	cardnewid_486	1-663/663	===============	0/0	100.00	97.13	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_1_length_306352_cov_33.196444	296880	298037	cardnewid_1353	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_1_length_306352_cov_33.196444	298049	301153	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.65	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_22_length_90376_cov_33.226381	22682	24055	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.40	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_24_length_79926_cov_34.542612	15694	16887	cardnewid_2244	1-1194/1194	===============	0/0	100.00	98.99	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_24_length_79926_cov_34.542612	16910	20059	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.02	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_27_length_59649_cov_33.407003	22391	22804	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_28_length_56828_cov_32.863368	498	1321	cardnewid_80	1-825/825	========/======	1/1	99.88	94.91	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_28_length_56828_cov_32.863368	1690	2418	cardnewid_2042	1-729/729	===============	0/0	100.00	95.34	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_28_length_56828_cov_32.863368	2781	5894	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.36	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_28_length_56828_cov_32.863368	5919	7076	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.62	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_2_length_271485_cov_33.080385	100444	101412	cardnewid_1968	1-969/969	===============	0/0	100.00	98.14	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_2_length_271485_cov_33.080385	161640	163283	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.75	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_39_length_30243_cov_33.206756	22059	22411	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.84	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_3_length_270223_cov_33.447588	11146	12684	cardnewid_501	1-1539/1539	===============	0/0	100.00	98.44	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_3_length_270223_cov_33.447588	12684	13739	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.92	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_3_length_270223_cov_33.447588	14263	14877	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_3_length_270223_cov_33.447588	14882	18475	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.74	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_3_length_270223_cov_33.447588	73776	73858	cardnewid_1960	1-83/1305	=..............	0/0	6.36	95.18	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_3_length_270223_cov_33.447588	115464	118577	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.97	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_3_length_270223_cov_33.447588	139297	139773	cardnewid_1625	1-477/477	===============	0/0	100.00	97.90	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_4_length_263603_cov_33.472208	255127	255802	cardnewid_2055	1-676/678	===============	0/0	99.71	96.45	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_54_length_18387_cov_33.091535	14922	15452	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_54_length_18387_cov_33.091535	15579	16751	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.29	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_54_length_18387_cov_33.091535	16768	18306	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.99	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_55_length_18033_cov_61.716251	4556	5802	cardnewid_1828	1-1247/1275	===============	0/0	97.80	100.00	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_61_length_15444_cov_32.249431	8802	9134	cardnewid_2240	1-333/333	===============	0/0	100.00	98.80	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_6_length_246384_cov_33.498768	126801	127159	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.67	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
3bcd3d92-9137-49d4-a8a5-5617fec92b4d_1_contigs.fa	NODE_6_length_246384_cov_33.498768	127151	127475	cardnewid_2598	6-330/330	===============	0/0	98.48	75.08	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
