#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
20728cdb-7599-4c20-8aaa-9788572a8d82_1_contigs.fa	NODE_10_length_211593_cov_32.399540	115666	116859	cardnewid_2244	1-1194/1194	===============	0/0	100.00	98.99	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
20728cdb-7599-4c20-8aaa-9788572a8d82_1_contigs.fa	NODE_10_length_211593_cov_32.399540	116882	120031	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.98	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
20728cdb-7599-4c20-8aaa-9788572a8d82_1_contigs.fa	NODE_10_length_211593_cov_32.399540	208515	209672	cardnewid_2001	1-1158/1158	===============	0/0	100.00	96.72	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
20728cdb-7599-4c20-8aaa-9788572a8d82_1_contigs.fa	NODE_11_length_211153_cov_35.534135	90241	91707	cardnewid_37	1-1467/1467	===============	0/0	100.00	96.86	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
20728cdb-7599-4c20-8aaa-9788572a8d82_1_contigs.fa	NODE_11_length_211153_cov_35.534135	91704	93755	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.78	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
20728cdb-7599-4c20-8aaa-9788572a8d82_1_contigs.fa	NODE_11_length_211153_cov_35.534135	93755	94786	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.87	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
20728cdb-7599-4c20-8aaa-9788572a8d82_1_contigs.fa	NODE_11_length_211153_cov_35.534135	117730	119373	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.11	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
20728cdb-7599-4c20-8aaa-9788572a8d82_1_contigs.fa	NODE_11_length_211153_cov_35.534135	161293	162426	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.97	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
20728cdb-7599-4c20-8aaa-9788572a8d82_1_contigs.fa	NODE_12_length_195206_cov_32.194953	97348	98574	cardnewid_562	1-1227/1227	===============	0/0	100.00	97.96	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
20728cdb-7599-4c20-8aaa-9788572a8d82_1_contigs.fa	NODE_12_length_195206_cov_32.194953	107205	108413	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.18	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
20728cdb-7599-4c20-8aaa-9788572a8d82_1_contigs.fa	NODE_13_length_141305_cov_29.813259	15697	17105	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.05	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
20728cdb-7599-4c20-8aaa-9788572a8d82_1_contigs.fa	NODE_15_length_106757_cov_36.004659	39944	41317	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.82	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
20728cdb-7599-4c20-8aaa-9788572a8d82_1_contigs.fa	NODE_1_length_416999_cov_35.105612	322613	324151	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.25	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
