#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_10_length_158574_cov_28.698120	48496	49629	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.97	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_10_length_158574_cov_28.698120	91539	93182	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.11	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_10_length_158574_cov_28.698120	115726	116757	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.87	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_10_length_158574_cov_28.698120	116757	118808	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.73	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_10_length_158574_cov_28.698120	118805	120271	cardnewid_37	1-1467/1467	===============	0/0	100.00	96.86	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_13_length_147406_cov_27.425252	53012	54178	cardnewid_912	1-1167/1167	===============	0/0	100.00	95.97	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_13_length_147406_cov_27.425252	105623	106870	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.36	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_13_length_147406_cov_27.425252	106870	109992	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.70	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_13_length_147406_cov_27.425252	109993	113070	cardnewid_1236	1-3078/3078	===============	0/0	100.00	96.49	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_13_length_147406_cov_27.425252	114483	115886	cardnewid_929	1-1404/1404	===============	0/0	100.00	97.65	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
