#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_10_length_146394_cov_42.228750	31572	35165	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.63	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_10_length_146394_cov_42.228750	35170	35784	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_10_length_146394_cov_42.228750	36308	37363	cardnewid_568	1-1056/1056	===============	0/0	100.00	96.97	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_10_length_146394_cov_42.228750	37363	38901	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.40	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_10_length_146394_cov_42.228750	140655	141623	cardnewid_1968	1-969/969	===============	0/0	100.00	98.04	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_12_length_124638_cov_43.439391	93523	95061	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.25	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_12_length_124638_cov_43.439391	95078	96250	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_12_length_124638_cov_43.439391	96377	96907	cardnewid_1248	1-531/531	===============	0/0	100.00	99.25	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_13_length_124160_cov_39.862673	108076	109308	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.03	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_14_length_107710_cov_45.974032	40715	42088	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.82	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_16_length_97780_cov_40.853003	21584	22888	cardnewid_1960	1-1305/1305	===============	0/0	100.00	96.32	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_16_length_97780_cov_40.853003	54409	57522	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.91	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_16_length_97780_cov_40.853003	78227	78703	cardnewid_1625	1-477/477	===============	0/0	100.00	97.90	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_19_length_79302_cov_40.108892	19525	19908	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_1_length_311296_cov_41.062406	55183	56826	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.26	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_1_length_311296_cov_41.062406	232006	232727	cardnewid_1255	1-722/723	===============	0/0	99.86	98.20	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_1_length_311296_cov_41.062406	232724	234127	cardnewid_929	1-1404/1404	===============	0/0	100.00	97.65	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_1_length_311296_cov_41.062406	235540	238617	cardnewid_1236	1-3078/3078	===============	0/0	100.00	96.49	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_1_length_311296_cov_41.062406	238618	241740	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.70	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_1_length_311296_cov_41.062406	241740	242987	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.36	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_1_length_311296_cov_41.062406	297152	298318	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.06	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_20_length_76517_cov_41.204069	38808	39483	cardnewid_2055	1-676/678	===============	0/0	99.71	95.27	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_25_length_66429_cov_40.245147	28758	29966	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.18	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_25_length_66429_cov_40.245147	38597	39823	cardnewid_562	1-1227/1227	===============	0/0	100.00	97.96	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_27_length_57908_cov_39.659906	42802	44210	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_30_length_55575_cov_44.218873	42985	44217	cardnewid_1119	1-1233/1233	===============	0/0	100.00	100.00	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_38_length_42909_cov_41.367716	16355	18103	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.80	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_3_length_263913_cov_44.434296	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.97	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_3_length_263913_cov_44.434296	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_3_length_263913_cov_44.434296	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	96.98	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_3_length_263913_cov_44.434296	210070	210891	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_3_length_263913_cov_44.434296	233269	234756	cardnewid_776	1-1488/1488	===============	0/0	100.00	100.00	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_44_length_30798_cov_43.565151	22722	23074	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.98	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_4_length_235428_cov_41.568177	81426	82583	cardnewid_2001	1-1158/1158	===============	0/0	100.00	96.72	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_4_length_235428_cov_41.568177	171079	174228	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.98	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_4_length_235428_cov_41.568177	174251	175444	cardnewid_2244	1-1194/1194	===============	0/0	100.00	98.99	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_53_length_21665_cov_41.229572	166	579	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_5_length_223127_cov_44.544187	444	1268	cardnewid_80	1-825/825	===============	0/0	100.00	96.85	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_5_length_223127_cov_44.544187	1637	2365	cardnewid_2042	1-729/729	===============	0/0	100.00	95.75	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_5_length_223127_cov_44.544187	2728	5841	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.23	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_5_length_223127_cov_44.544187	5866	7023	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_5_length_223127_cov_44.544187	207418	208050	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_67_length_14560_cov_107.792930	8860	9720	cardnewid_45	1-861/861	===============	0/0	100.00	99.88	cardformatted	000045	cardformatted~~~cardnewid_45~~~000045
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_67_length_14560_cov_107.792930	12675	13880	cardnewid_452	1-1206/1206	===============	0/0	100.00	99.75	cardformatted	000452	cardformatted~~~cardnewid_452~~~000452
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_6_length_211612_cov_45.339183	49587	50720	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.97	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_6_length_211612_cov_45.339183	92640	94283	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.11	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_6_length_211612_cov_45.339183	116827	117858	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.87	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_6_length_211612_cov_45.339183	117858	119909	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.78	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_6_length_211612_cov_45.339183	119906	121372	cardnewid_37	1-1467/1467	===============	0/0	100.00	96.86	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
db47718d-e660-494b-9d77-6f0d0f3fc82f_1_contigs.fa	NODE_7_length_203834_cov_38.543819	21832	22156	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
