#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_10_length_113098_cov_35.744384	30348	32096	cardnewid_2113	1-1749/1749	===============	0/0	100.00	100.00	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_116_length_3467_cov_34.736873	2104	2943	cardnewid_1001	1-840/840	===============	0/0	100.00	100.00	cardformatted	001001	cardformatted~~~cardnewid_1001~~~001001
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_124_length_3120_cov_92.730858	945	2191	cardnewid_1828	1-1247/1275	===============	0/0	97.80	100.00	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_12_length_107427_cov_35.619702	79682	80890	cardnewid_349	1-1209/1209	===============	0/0	100.00	97.93	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_12_length_107427_cov_35.619702	89520	90746	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_138_length_1794_cov_62.090274	1	77	cardnewid_1952	133-209/786	..==...........	0/0	9.80	100.00	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_138_length_1794_cov_62.090274	1710	1794	cardnewid_134	1-85/792	==.............	0/0	10.73	100.00	cardformatted	000134	cardformatted~~~cardnewid_134~~~000134
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_13_length_103777_cov_35.992575	26865	26945	cardnewid_1960	1-81/1305	=..............	0/0	6.21	98.77	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_13_length_103777_cov_35.992575	58441	61554	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.65	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_13_length_103777_cov_35.992575	82232	82708	cardnewid_1625	1-477/477	===============	0/0	100.00	98.32	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_140_length_1718_cov_93.446069	1	209	cardnewid_1952	1-209/786	====...........	0/0	26.59	99.52	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_157_length_1073_cov_41.271084	1	83	cardnewid_1952	133-215/786	..===..........	0/0	10.56	98.80	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_157_length_1073_cov_41.271084	84	581	cardnewid_1070	1-498/498	===============	0/0	100.00	100.00	cardformatted	001070	cardformatted~~~cardnewid_1070~~~001070
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_157_length_1073_cov_41.271084	989	1073	cardnewid_596	1-85/792	==.............	0/0	10.73	100.00	cardformatted	000596	cardformatted~~~cardnewid_596~~~000596
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_169_length_841_cov_105.503927	58	837	cardnewid_1151	1-780/780	===============	0/0	100.00	100.00	cardformatted	001151	cardformatted~~~cardnewid_1151~~~001151
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_18_length_95784_cov_35.987033	22384	22914	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_18_length_95784_cov_35.987033	23041	24213	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.12	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_18_length_95784_cov_35.987033	24230	25768	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.35	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_19_length_94980_cov_35.513619	82126	82269	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_19_length_94980_cov_35.513619	86461	87138	cardnewid_2055	1-678/678	===============	0/0	100.00	99.12	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_1_length_210933_cov_35.672663	41956	43149	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.75	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_1_length_210933_cov_35.672663	43172	46321	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.40	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_1_length_210933_cov_35.672663	133572	134729	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_22_length_86045_cov_36.293318	54737	55561	cardnewid_80	1-825/825	===============	0/0	100.00	100.00	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_22_length_86045_cov_36.293318	55929	56657	cardnewid_2042	1-729/729	===============	0/0	100.00	94.65	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_22_length_86045_cov_36.293318	57020	60133	cardnewid_107	1-3114/3114	===============	0/0	100.00	99.94	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_22_length_86045_cov_36.293318	60158	61315	cardnewid_1790	1-1158/1158	===============	0/0	100.00	100.00	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_25_length_78715_cov_36.113851	41515	43002	cardnewid_776	1-1488/1488	===============	0/0	100.00	99.73	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_25_length_78715_cov_36.113851	65378	66199	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_27_length_73684_cov_36.460051	10538	11911	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.84	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_31_length_65499_cov_45.548730	50989	51372	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_34_length_56689_cov_38.958224	54532	55557	cardnewid_191	1-1026/1026	===============	0/0	100.00	100.00	cardformatted	000191	cardformatted~~~cardnewid_191~~~000191
46a31c04-6e53-4327-a64d-af17ea2aa40a_1_contigs.fa	NODE_34_length_56689_cov_38.958224	55786	56562	cardnewid_2094	1-777/777	===============	0/0	100.00	100.00	cardformatted	002094	cardformatted~~~cardnewid_2094~~~002094
