#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
06de200b-a400-4f4e-b9a4-35bd217c2614_1_contigs.fa	NODE_10_length_189247_cov_24.172015	130088	133201	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.39	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
06de200b-a400-4f4e-b9a4-35bd217c2614_1_contigs.fa	NODE_10_length_189247_cov_24.172015	164435	164517	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
06de200b-a400-4f4e-b9a4-35bd217c2614_1_contigs.fa	NODE_12_length_181090_cov_25.043334	165027	166160	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.62	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
06de200b-a400-4f4e-b9a4-35bd217c2614_1_contigs.fa	NODE_14_length_175181_cov_26.326263	27256	28899	cardnewid_609	1-1644/1644	===============	0/0	100.00	93.31	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
06de200b-a400-4f4e-b9a4-35bd217c2614_1_contigs.fa	NODE_14_length_175181_cov_26.326263	58115	59146	cardnewid_1350	1-1032/1032	===============	0/0	100.00	94.96	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
06de200b-a400-4f4e-b9a4-35bd217c2614_1_contigs.fa	NODE_14_length_175181_cov_26.326263	59146	61197	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.56	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
06de200b-a400-4f4e-b9a4-35bd217c2614_1_contigs.fa	NODE_14_length_175181_cov_26.326263	61194	62660	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.82	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
06de200b-a400-4f4e-b9a4-35bd217c2614_1_contigs.fa	NODE_15_length_144003_cov_22.555591	101598	102011	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
06de200b-a400-4f4e-b9a4-35bd217c2614_1_contigs.fa	NODE_16_length_129192_cov_26.468118	74154	75527	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.18	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
06de200b-a400-4f4e-b9a4-35bd217c2614_1_contigs.fa	NODE_1_length_563539_cov_21.449017	37140	37523	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
06de200b-a400-4f4e-b9a4-35bd217c2614_1_contigs.fa	NODE_1_length_563539_cov_21.449017	74102	74426	cardnewid_2598	6-330/330	===============	0/0	98.48	75.08	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
06de200b-a400-4f4e-b9a4-35bd217c2614_1_contigs.fa	NODE_1_length_563539_cov_21.449017	74418	74776	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
