#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_10_length_190869_cov_35.168859	112576	114042	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_10_length_190869_cov_35.168859	114039	116090	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_10_length_190869_cov_35.168859	116090	117121	cardnewid_1350	1-1032/1032	===============	0/0	100.00	96.22	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_10_length_190869_cov_35.168859	146363	148006	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.42	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_13_length_158855_cov_34.716768	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.59	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_13_length_158855_cov_34.716768	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_13_length_158855_cov_34.716768	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_14_length_147256_cov_34.185876	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.80	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_15_length_136519_cov_27.375984	107375	107707	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_16_length_124022_cov_36.355053	66743	68110	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_18_length_111178_cov_29.221159	21091	21812	cardnewid_1255	1-722/723	===============	0/0	99.86	97.09	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_18_length_111178_cov_29.221159	21809	23212	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_18_length_111178_cov_29.221159	24625	27702	cardnewid_1236	1-3078/3078	===============	0/0	100.00	93.99	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_18_length_111178_cov_29.221159	27703	30825	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.16	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_18_length_111178_cov_29.221159	30825	32072	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.59	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
19f1f26a-387d-42f1-b3b6-b469270f6d40_1_contigs.fa	NODE_18_length_111178_cov_29.221159	85168	86334	cardnewid_912	1-1167/1167	===============	0/0	100.00	95.97	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
