#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
21ecbb04-0769-4b63-8e9f-cc8a9e368e83_1_contigs.fa	NODE_101_length_8956_cov_55.793783	5701	6858	cardnewid_2001	1-1158/1158	===============	0/0	100.00	100.00	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
21ecbb04-0769-4b63-8e9f-cc8a9e368e83_1_contigs.fa	NODE_10_length_100543_cov_53.535226	15255	16481	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
21ecbb04-0769-4b63-8e9f-cc8a9e368e83_1_contigs.fa	NODE_10_length_100543_cov_53.535226	25110	26318	cardnewid_349	1-1209/1209	===============	0/0	100.00	100.00	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
21ecbb04-0769-4b63-8e9f-cc8a9e368e83_1_contigs.fa	NODE_115_length_6021_cov_123.859017	1	78	cardnewid_2295	98-175/972	.==............	0/0	8.02	100.00	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
21ecbb04-0769-4b63-8e9f-cc8a9e368e83_1_contigs.fa	NODE_115_length_6021_cov_123.859017	95	568	cardnewid_1874	1-474/474	===============	0/0	100.00	100.00	cardformatted	001874	cardformatted~~~cardnewid_1874~~~001874
21ecbb04-0769-4b63-8e9f-cc8a9e368e83_1_contigs.fa	NODE_115_length_6021_cov_123.859017	651	1452	cardnewid_2295	171-972/972	..=============	0/0	82.51	99.75	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
21ecbb04-0769-4b63-8e9f-cc8a9e368e83_1_contigs.fa	NODE_115_length_6021_cov_123.859017	1622	1954	cardnewid_2041	1-333/333	===============	0/0	100.00	91.59	cardformatted	002041	cardformatted~~~cardnewid_2041~~~002041
21ecbb04-0769-4b63-8e9f-cc8a9e368e83_1_contigs.fa	NODE_115_length_6021_cov_123.859017	3134	3925	cardnewid_368	1-792/792	===============	0/0	100.00	100.00	cardformatted	000368	cardformatted~~~cardnewid_368~~~000368
21ecbb04-0769-4b63-8e9f-cc8a9e368e83_1_contigs.fa	NODE_115_length_6021_cov_123.859017	5686	5948	cardnewid_1125	968-1230/1230	...........====	0/0	21.38	99.62	cardformatted	001125	cardformatted~~~cardnewid_1125~~~001125
21ecbb04-0769-4b63-8e9f-cc8a9e368e83_1_contigs.fa	NODE_11_length_92438_cov_52.831260	38178	39371	cardnewid_2244	1-1194/1194	===============	0/0	100.00	100.00	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
21ecbb04-0769-4b63-8e9f-cc8a9e368e83_1_contigs.fa	NODE_11_length_92438_cov_52.831260	39394	42543	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.97	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
21ecbb04-0769-4b63-8e9f-cc8a9e368e83_1_contigs.fa	NODE_124_length_5038_cov_99.283411	176	835	cardnewid_716	1-660/660	===============	0/0	100.00	99.85	cardformatted	000716	cardformatted~~~cardnewid_716~~~000716
21ecbb04-0769-4b63-8e9f-cc8a9e368e83_1_contigs.fa	NODE_12_length_91893_cov_55.966912	10492	11979	cardnewid_776	1-1488/1488	===============	0/0	100.00	100.00	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
