#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
01475fd2-0ded-416b-9161-99bfde244595_1_contigs.fa	NODE_10_length_151157_cov_29.713443	29163	30806	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.94	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
01475fd2-0ded-416b-9161-99bfde244595_1_contigs.fa	NODE_10_length_151157_cov_29.713443	60605	61636	cardnewid_1350	1-1032/1032	===============	0/0	100.00	99.90	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
01475fd2-0ded-416b-9161-99bfde244595_1_contigs.fa	NODE_10_length_151157_cov_29.713443	61636	63687	cardnewid_1932	1-2052/2052	===============	0/0	100.00	99.95	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
01475fd2-0ded-416b-9161-99bfde244595_1_contigs.fa	NODE_10_length_151157_cov_29.713443	63684	65150	cardnewid_37	1-1467/1467	===============	0/0	100.00	100.00	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
01475fd2-0ded-416b-9161-99bfde244595_1_contigs.fa	NODE_116_length_2059_cov_26.747225	601	1461	cardnewid_45	1-861/861	===============	0/0	100.00	99.88	cardformatted	000045	cardformatted~~~cardnewid_45~~~000045
01475fd2-0ded-416b-9161-99bfde244595_1_contigs.fa	NODE_11_length_147501_cov_27.966437	131867	132499	cardnewid_816	1-633/633	===============	0/0	100.00	99.84	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
01475fd2-0ded-416b-9161-99bfde244595_1_contigs.fa	NODE_12_length_136259_cov_29.142743	89003	89824	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
01475fd2-0ded-416b-9161-99bfde244595_1_contigs.fa	NODE_12_length_136259_cov_29.142743	112111	113598	cardnewid_776	1-1488/1488	===============	0/0	100.00	100.00	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
01475fd2-0ded-416b-9161-99bfde244595_1_contigs.fa	NODE_13_length_131472_cov_28.793325	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.97	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
01475fd2-0ded-416b-9161-99bfde244595_1_contigs.fa	NODE_13_length_131472_cov_28.793325	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	100.00	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
01475fd2-0ded-416b-9161-99bfde244595_1_contigs.fa	NODE_13_length_131472_cov_28.793325	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	99.85	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
01475fd2-0ded-416b-9161-99bfde244595_1_contigs.fa	NODE_14_length_125715_cov_29.177526	62851	64224	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
01475fd2-0ded-416b-9161-99bfde244595_1_contigs.fa	NODE_16_length_119002_cov_27.135220	8008	8685	cardnewid_2055	1-678/678	===============	0/0	100.00	99.85	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
