#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_102_length_524_cov_104.496644	1	524	cardnewid_1238	2662-3185/3594	...........===.	0/0	14.58	97.71	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_10_length_181047_cov_56.183997	47498	48028	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_10_length_181047_cov_56.183997	48155	49327	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.04	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_10_length_181047_cov_56.183997	49344	50882	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.44	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_110_length_452_cov_52.429333	1	452	cardnewid_1238	2287-2738/3594	.........===...	0/0	12.58	98.45	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_111_length_452_cov_45.650667	1	452	cardnewid_1238	2287-2738/3594	.........===...	0/0	12.58	98.45	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_115_length_402_cov_50.796923	199	402	cardnewid_1238	3391-3594/3594	..............=	0/0	5.68	98.04	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_12_length_161311_cov_58.634928	52487	53306	cardnewid_1713	1-820/822	===============	0/0	99.76	98.29	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_12_length_161311_cov_58.634928	78989	80476	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.19	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_134_length_318_cov_48.850622	1	318	cardnewid_1238	3109-3426/3594	............===	0/0	8.85	97.80	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_13_length_158913_cov_61.135353	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.59	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_13_length_158913_cov_61.135353	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_13_length_158913_cov_61.135353	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_14_length_147557_cov_46.266301	145124	145537	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_15_length_136519_cov_45.831973	28813	29145	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_16_length_124092_cov_63.417377	55913	57280	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_18_length_121065_cov_50.076991	67408	68640	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.27	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_19_length_113828_cov_43.289993	81264	82139	cardnewid_1912	1-876/876	===============	0/0	100.00	100.00	cardformatted	001912	cardformatted~~~cardnewid_1912~~~001912
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_1_length_397199_cov_49.584986	21438	22604	cardnewid_912	1-1167/1167	===============	0/0	100.00	95.97	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_1_length_397199_cov_49.584986	75700	76947	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.59	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_1_length_397199_cov_49.584986	76947	80069	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.16	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_1_length_397199_cov_49.584986	80070	83147	cardnewid_1236	1-3078/3078	===============	0/0	100.00	93.99	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_1_length_397199_cov_49.584986	84560	85963	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_1_length_397199_cov_49.584986	85960	86681	cardnewid_1255	1-722/723	===============	0/0	99.86	97.09	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_1_length_397199_cov_49.584986	226287	227930	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.38	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_1_length_397199_cov_49.584986	286135	287103	cardnewid_1968	1-969/969	===============	0/0	100.00	97.63	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_1_length_397199_cov_49.584986	394148	395686	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.66	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_1_length_397199_cov_49.584986	395686	396741	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.73	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_23_length_68253_cov_49.023161	42790	44198	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_29_length_32171_cov_52.075590	1	486	cardnewid_1238	3109-3594/3594	............===	0/0	13.52	97.94	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
8e1c500d-cfc2-444f-811f-54cf57c66d64_1_contigs.fa	NODE_2_length_340693_cov_58.959239	34739	35971	cardnewid_1119	1-1233/1233	===============	0/0	100.00	95.05	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
