#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
bbc9c111-971f-43d8-b017-f12713f67efe_1_contigs.fa	NODE_10_length_188742_cov_27.804913	454	1278	cardnewid_80	1-825/825	===============	0/0	100.00	97.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
bbc9c111-971f-43d8-b017-f12713f67efe_1_contigs.fa	NODE_10_length_188742_cov_27.804913	1646	2374	cardnewid_2042	1-729/729	===============	0/0	100.00	94.38	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
bbc9c111-971f-43d8-b017-f12713f67efe_1_contigs.fa	NODE_10_length_188742_cov_27.804913	2737	5850	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.49	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
bbc9c111-971f-43d8-b017-f12713f67efe_1_contigs.fa	NODE_10_length_188742_cov_27.804913	5875	7032	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.65	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
bbc9c111-971f-43d8-b017-f12713f67efe_1_contigs.fa	NODE_10_length_188742_cov_27.804913	173108	173740	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
bbc9c111-971f-43d8-b017-f12713f67efe_1_contigs.fa	NODE_12_length_181789_cov_27.566837	43776	44306	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
bbc9c111-971f-43d8-b017-f12713f67efe_1_contigs.fa	NODE_12_length_181789_cov_27.566837	44433	45605	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.53	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
bbc9c111-971f-43d8-b017-f12713f67efe_1_contigs.fa	NODE_12_length_181789_cov_27.566837	45622	47160	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
bbc9c111-971f-43d8-b017-f12713f67efe_1_contigs.fa	NODE_13_length_175124_cov_28.567699	145140	146273	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.53	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
bbc9c111-971f-43d8-b017-f12713f67efe_1_contigs.fa	NODE_14_length_159332_cov_28.644708	29078	30721	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.33	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
bbc9c111-971f-43d8-b017-f12713f67efe_1_contigs.fa	NODE_14_length_159332_cov_28.644708	60077	61108	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.97	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
bbc9c111-971f-43d8-b017-f12713f67efe_1_contigs.fa	NODE_14_length_159332_cov_28.644708	61108	63159	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.39	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
bbc9c111-971f-43d8-b017-f12713f67efe_1_contigs.fa	NODE_14_length_159332_cov_28.644708	63156	64622	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
