#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
e3b89ad5-fd2d-4181-913a-cbab6eb46690_1_contigs.fa	NODE_11_length_147328_cov_22.713992	5706	6674	cardnewid_1968	1-969/969	===============	0/0	100.00	98.04	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
e3b89ad5-fd2d-4181-913a-cbab6eb46690_1_contigs.fa	NODE_11_length_147328_cov_22.713992	108428	109966	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.40	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
e3b89ad5-fd2d-4181-913a-cbab6eb46690_1_contigs.fa	NODE_11_length_147328_cov_22.713992	109966	111021	cardnewid_568	1-1056/1056	===============	0/0	100.00	96.97	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
e3b89ad5-fd2d-4181-913a-cbab6eb46690_1_contigs.fa	NODE_11_length_147328_cov_22.713992	111545	112159	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
e3b89ad5-fd2d-4181-913a-cbab6eb46690_1_contigs.fa	NODE_11_length_147328_cov_22.713992	112164	115757	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.63	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
e3b89ad5-fd2d-4181-913a-cbab6eb46690_1_contigs.fa	NODE_12_length_135261_cov_22.703131	133861	135184	cardnewid_1738	216-1539/1539	..=============	0/0	86.03	97.96	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
e3b89ad5-fd2d-4181-913a-cbab6eb46690_1_contigs.fa	NODE_14_length_106939_cov_24.952443	65623	66996	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.82	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
e3b89ad5-fd2d-4181-913a-cbab6eb46690_1_contigs.fa	NODE_1_length_425369_cov_21.252906	7846	9254	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.05	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
e3b89ad5-fd2d-4181-913a-cbab6eb46690_1_contigs.fa	NODE_1_length_425369_cov_21.252906	418285	418643	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
e3b89ad5-fd2d-4181-913a-cbab6eb46690_1_contigs.fa	NODE_1_length_425369_cov_21.252906	418635	418959	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
