#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_10_length_185640_cov_36.654867	40922	41594	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_11_length_174362_cov_37.653275	69953	71146	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_11_length_174362_cov_37.653275	71169	74318	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.79	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_11_length_174362_cov_37.653275	163078	164235	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.24	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_137_length_452_cov_39.256000	1	452	cardnewid_1238	2287-2738/3594	.........===...	0/0	12.58	98.45	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_145_length_402_cov_43.003077	1	204	cardnewid_1238	3391-3594/3594	..............=	0/0	5.68	98.04	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_14_length_143375_cov_34.502784	89588	90820	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.35	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_157_length_365_cov_46.041667	1	365	cardnewid_1238	2671-3035/3594	...........==..	0/0	10.16	97.81	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_168_length_318_cov_36.390041	1	318	cardnewid_1238	3109-3426/3594	............===	0/0	8.85	97.80	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_16_length_114750_cov_37.930550	55453	58566	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.55	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_16_length_114750_cov_37.930550	89939	90021	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_19_length_109753_cov_32.279332	1744	2157	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_1_length_367360_cov_41.106112	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.55	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_1_length_367360_cov_41.106112	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_1_length_367360_cov_41.106112	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_1_length_367360_cov_41.106112	216347	217166	cardnewid_1713	1-820/822	===============	0/0	99.76	98.17	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_1_length_367360_cov_41.106112	237610	239097	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.32	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_21_length_105585_cov_30.319274	27218	27601	cardnewid_1808	1-384/384	===============	0/0	100.00	98.44	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_21_length_105585_cov_30.319274	65155	65479	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
ed899847-501f-4650-80f3-3e8fe4acf780_1_contigs.fa	NODE_21_length_105585_cov_30.319274	65471	65829	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.11	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
