#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_11_length_125561_cov_64.074496	61401	62774	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_12_length_122977_cov_64.328381	57501	58031	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_12_length_122977_cov_64.328381	58158	59330	cardnewid_1650	1-1173/1173	===============	0/0	100.00	99.91	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_12_length_122977_cov_64.328381	59347	60885	cardnewid_1738	1-1539/1539	===============	0/0	100.00	100.00	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_13_length_119118_cov_63.442108	106191	106334	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_13_length_119118_cov_63.442108	110296	110973	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_14_length_114737_cov_63.633979	95129	96877	cardnewid_2113	1-1749/1749	===============	0/0	100.00	100.00	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_15_length_109914_cov_65.260950	68482	68895	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_16_length_109868_cov_64.269840	18577	19803	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_16_length_109868_cov_64.269840	28432	29640	cardnewid_349	1-1209/1209	===============	0/0	100.00	100.00	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_19_length_91076_cov_62.553039	7702	8670	cardnewid_1968	1-969/969	===============	0/0	100.00	99.90	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_1_length_565598_cov_66.925435	41630	43117	cardnewid_776	1-1488/1488	===============	0/0	100.00	100.00	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_1_length_565598_cov_66.925435	65493	66314	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_1_length_565598_cov_66.925435	275981	276643	cardnewid_486	1-663/663	===============	0/0	100.00	99.85	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_1_length_565598_cov_66.925435	277042	278199	cardnewid_1353	1-1158/1158	===============	0/0	100.00	99.91	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_1_length_565598_cov_66.925435	278211	281315	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.97	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_21_length_79106_cov_67.834238	47849	48232	cardnewid_1808	1-384/384	===============	0/0	100.00	100.00	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_27_length_53300_cov_67.056104	31577	35170	cardnewid_1238	1-3594/3594	===============	0/0	100.00	100.00	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_27_length_53300_cov_67.056104	35175	35789	cardnewid_954	1-615/615	===============	0/0	100.00	100.00	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_27_length_53300_cov_67.056104	36313	37368	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.81	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_27_length_53300_cov_67.056104	37368	38906	cardnewid_501	1-1539/1539	===============	0/0	100.00	99.03	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
369d8976-c506-41b8-b377-0bb7c8ab82e6_1_contigs.fa	NODE_2_length_409367_cov_64.142764	383391	383749	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
