#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
fc75ec09-9c26-4e4e-ae3b-8af3a088a9f9_1_contigs.fa	NODE_10_length_178960_cov_31.080991	40628	41300	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
fc75ec09-9c26-4e4e-ae3b-8af3a088a9f9_1_contigs.fa	NODE_11_length_175153_cov_34.504884	112523	113989	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.82	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
fc75ec09-9c26-4e4e-ae3b-8af3a088a9f9_1_contigs.fa	NODE_11_length_175153_cov_34.504884	113986	116037	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.56	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
fc75ec09-9c26-4e4e-ae3b-8af3a088a9f9_1_contigs.fa	NODE_11_length_175153_cov_34.504884	116037	117068	cardnewid_1350	1-1032/1032	===============	0/0	100.00	94.96	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
fc75ec09-9c26-4e4e-ae3b-8af3a088a9f9_1_contigs.fa	NODE_11_length_175153_cov_34.504884	146284	147927	cardnewid_609	1-1644/1644	===============	0/0	100.00	93.31	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
fc75ec09-9c26-4e4e-ae3b-8af3a088a9f9_1_contigs.fa	NODE_12_length_163029_cov_32.148461	29374	29904	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
fc75ec09-9c26-4e4e-ae3b-8af3a088a9f9_1_contigs.fa	NODE_12_length_163029_cov_32.148461	30031	31203	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.87	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
fc75ec09-9c26-4e4e-ae3b-8af3a088a9f9_1_contigs.fa	NODE_12_length_163029_cov_32.148461	31220	32758	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.86	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
fc75ec09-9c26-4e4e-ae3b-8af3a088a9f9_1_contigs.fa	NODE_14_length_155896_cov_34.523909	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.62	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
fc75ec09-9c26-4e4e-ae3b-8af3a088a9f9_1_contigs.fa	NODE_15_length_133343_cov_30.064082	28716	29437	cardnewid_1255	1-722/723	===============	0/0	99.86	97.23	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
