#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
30885196-fd93-4153-ad48-4536c63a6821_1_contigs.fa	NODE_10_length_202976_cov_37.548095	15102	15734	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
30885196-fd93-4153-ad48-4536c63a6821_1_contigs.fa	NODE_10_length_202976_cov_37.548095	195571	196728	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.62	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
30885196-fd93-4153-ad48-4536c63a6821_1_contigs.fa	NODE_10_length_202976_cov_37.548095	196753	199866	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.33	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
30885196-fd93-4153-ad48-4536c63a6821_1_contigs.fa	NODE_10_length_202976_cov_37.548095	200229	200957	cardnewid_2042	1-729/729	===============	0/0	100.00	99.86	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
30885196-fd93-4153-ad48-4536c63a6821_1_contigs.fa	NODE_10_length_202976_cov_37.548095	201326	202150	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
30885196-fd93-4153-ad48-4536c63a6821_1_contigs.fa	NODE_11_length_171646_cov_33.613753	9837	9919	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
30885196-fd93-4153-ad48-4536c63a6821_1_contigs.fa	NODE_11_length_171646_cov_33.613753	41179	44292	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
30885196-fd93-4153-ad48-4536c63a6821_1_contigs.fa	NODE_13_length_132398_cov_37.382222	56870	58243	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
30885196-fd93-4153-ad48-4536c63a6821_1_contigs.fa	NODE_15_length_118332_cov_36.274086	95682	96095	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
30885196-fd93-4153-ad48-4536c63a6821_1_contigs.fa	NODE_18_length_90540_cov_34.808507	19522	20748	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.21	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
